Age,Income,Credit_Score,Years_Employed,Existing_Loans,Loan_Approved
52,81150,604,7,0,1
42,102312,670,14,1,0
52,104613,683,6,1,1
42,89910,744,5,0,1
46,67375,724,0,3,1
35,136826,460,14,1,0
35,50435,477,6,3,0
19,111443,789,16,5,0
52,149055,626,1,3,1
33,38510,588,8,2,1
58,109071,653,8,0,1
53,21640,327,12,3,1
50,59547,342,5,5,0
21,69620,722,5,4,0
50,130608,476,19,0,0
31,22564,828,19,1,1
38,128824,793,20,2,1
37,94273,497,2,1,1
25,89859,816,16,5,1
24,125017,813,16,5,1
20,138618,321,11,1,0
34,140341,411,15,0,1
50,44430,356,14,1,1
29,42788,365,12,3,0
39,84346,397,0,1,1
39,111122,443,16,2,1
47,54974,734,2,2,0
55,122309,385,14,4,1
55,31371,643,3,2,1
25,60084,593,3,1,0
44,76916,542,17,2,1
44,88972,331,16,0,1
51,27984,690,18,2,1
38,48039,576,10,3,0
47,100431,831,19,0,1
50,98691,453,2,4,0
45,73606,682,7,3,1
50,117665,367,13,1,1
22,120373,513,0,1,0
36,39574,675,13,1,0
21,149502,512,1,3,0
52,47733,378,3,3,0
34,17050,680,18,3,1
45,124996,357,5,0,1
47,48933,325,0,5,0
46,39951,746,16,0,1
23,47413,365,7,1,0
52,127573,553,18,5,0
58,137744,343,20,2,1
54,104431,396,0,1,1
41,58001,526,4,4,0
46,82364,735,15,0,1
48,139988,678,5,3,1
52,60028,477,7,0,0
50,146878,726,12,3,1
38,139343,606,15,5,0
49,143301,803,2,4,0
40,141295,567,18,5,0
50,49636,307,11,4,0
20,39262,807,15,0,1
35,95435,775,10,3,1
42,143583,596,9,5,0
59,56844,463,19,4,1
48,79754,784,3,1,0
20,92129,371,11,1,0
57,55042,537,1,5,0
41,76665,403,18,3,1
49,131953,509,4,5,1
39,133533,767,7,0,1
40,88781,753,6,4,0
19,81262,567,13,0,0
44,61600,685,2,1,0
59,91898,686,17,4,0
19,45448,558,15,5,0
43,41172,582,18,0,1
34,22657,339,18,2,0
57,127855,785,17,3,1
50,22906,519,19,3,1
26,76413,428,15,2,0
60,69028,819,7,1,1
56,22287,559,0,4,1
46,48660,665,16,3,1
59,75504,843,11,2,1
43,117979,823,20,5,0
52,49701,315,10,2,1
42,98300,428,4,1,1
41,98560,408,11,1,1
30,58642,832,16,0,1
24,80160,568,5,3,0
53,32602,461,0,0,1
37,118320,559,4,2,0
18,103801,401,13,4,0
25,40931,805,4,4,0
33,109377,546,0,1,0
31,44192,836,17,4,0
29,61542,430,15,4,1
40,142015,652,8,4,1
32,57520,495,18,2,1
45,79772,681,4,4,0
51,65106,526,1,5,1
19,96121,775,14,4,1
49,40559,776,6,4,1
40,120595,564,3,0,1
39,48742,671,0,2,1
42,84669,785,12,1,0
39,85831,733,19,0,1
39,127217,510,6,3,0
59,56873,676,14,2,1
23,121532,694,13,5,1
32,141267,749,18,2,1
60,149092,663,19,3,1
54,56755,756,17,3,1
50,100956,525,9,3,0
25,101988,430,8,1,0
22,60648,775,7,4,1
56,140991,576,9,2,1
21,130005,455,16,4,0
23,17396,517,1,4,0
49,99082,489,5,5,0
47,143322,716,4,3,0
52,147663,845,8,1,1
57,26303,340,4,5,0
33,86719,606,17,0,1
30,114616,637,19,1,1
59,139165,613,8,4,1
47,101231,374,16,1,1
36,22314,578,16,3,0
34,34623,475,11,0,0
36,120228,572,6,3,1
45,112624,588,2,0,0
43,126785,571,9,5,1
54,101206,365,1,4,0
43,84274,782,2,0,1
40,148541,547,15,0,1
26,68947,455,1,0,0
29,63874,346,9,1,0
18,64708,753,5,5,0
18,89553,500,10,1,1
51,83344,423,6,4,0
49,64138,300,14,0,1
42,62638,490,5,5,0
57,93249,815,19,5,1
18,120865,741,8,2,1
33,17719,442,19,4,0
56,57534,490,11,5,1
22,107241,832,18,0,1
39,141209,526,19,0,1
46,107124,612,2,5,1
20,106659,601,14,1,1
29,90713,759,1,4,1
43,90418,700,20,0,1
33,143232,850,1,5,1
54,46575,692,2,0,1
39,78852,506,5,5,0
46,147079,509,14,4,0
31,91242,414,9,5,0
45,44257,550,8,2,1
22,76246,518,0,5,0
47,16435,706,15,5,0
22,106357,742,5,4,0
29,98807,653,8,5,0
33,130953,849,3,4,1
43,138797,441,1,2,0
43,78888,800,3,4,0
38,88609,846,0,0,1
56,24077,841,18,4,1
53,35953,806,9,2,0
50,129682,580,20,3,0
47,82889,723,14,5,1
54,130374,569,18,4,1
40,39860,453,15,5,0
27,92475,382,20,1,0
22,102266,725,3,0,0
53,115732,574,1,0,1
51,42083,583,12,1,1
48,72372,472,0,1,0
27,138786,626,16,4,1
36,22813,362,12,1,0
49,46598,372,3,3,0
18,108106,674,6,5,0
22,42082,807,16,5,0
21,44241,697,8,2,0
33,26745,419,3,1,0
41,41029,736,18,1,1
33,138395,764,0,3,0
19,104186,585,9,0,0
45,112768,564,3,0,1
49,56846,619,8,5,1
44,90932,675,12,5,1
37,38411,388,13,4,0
41,93797,502,9,3,1
29,67307,633,5,2,1
52,149165,521,15,2,1
50,37042,340,5,3,0
50,67930,367,16,2,0
60,112883,813,9,0,1
54,48756,426,17,2,0
29,68268,554,17,2,0
20,63901,315,2,3,0
18,114986,776,19,3,1
50,143386,361,20,2,0
57,20626,731,14,1,1
27,27857,567,14,3,0
60,148052,334,3,4,0
46,41431,793,8,4,1
30,99976,768,18,0,1
29,97711,624,16,2,1
48,41385,603,10,1,1
19,33639,575,8,0,1
52,100530,500,9,2,1
40,36563,744,17,3,1
34,130672,623,19,4,1
43,97970,334,12,5,1
25,100553,781,7,1,1
46,97879,779,6,5,1
43,59859,364,16,4,0
27,67098,307,20,5,0
43,137413,600,14,3,1
51,15526,642,19,2,0
58,83760,730,14,3,1
24,62837,723,0,5,0
21,26536,631,13,3,0
28,43541,737,4,4,0
46,94083,473,10,1,0
53,49531,826,15,3,0
42,23712,325,1,4,0
38,119101,705,7,1,1
53,80455,531,10,2,1
27,89744,832,17,5,1
54,144749,849,2,2,0
26,20109,804,0,0,0
41,64268,478,10,4,0
52,69615,431,15,1,1
52,97503,754,17,3,1
53,100708,647,15,2,1
35,117471,839,9,1,1
56,98309,705,17,4,1
49,141446,375,5,0,1
41,121661,791,18,2,1
40,21154,493,3,5,0
49,79288,461,12,1,1
54,66195,646,13,5,0
29,35581,660,2,1,0
30,45087,386,9,1,0
40,84298,561,5,4,0
42,61167,513,0,4,0
52,54499,561,13,4,0
58,140816,582,7,3,0
47,111347,766,18,1,1
34,63787,679,13,2,1
37,50488,661,9,5,0
42,89441,748,16,4,1
39,37431,740,8,4,1
30,76681,392,5,5,1
36,137720,723,10,5,0
53,64153,441,6,1,0
29,21368,590,16,4,0
58,127360,731,0,5,0
36,127755,348,4,3,0
29,71985,601,8,3,1
26,65069,489,17,4,1
24,67326,435,20,5,0
45,123737,703,1,1,1
31,65861,640,10,1,0
48,90897,617,5,1,1
36,142118,662,7,0,1
33,83577,681,3,4,0
22,24078,532,17,1,0
52,77768,643,10,3,0
29,66047,848,4,5,0
42,86626,828,14,2,1
38,72660,482,17,2,0
53,147997,340,1,1,1
40,132832,850,10,2,1
33,145406,696,12,2,1
56,140150,793,3,0,1
59,48320,632,6,3,1
56,79881,426,10,3,0
31,105827,300,3,0,1
48,117215,467,14,0,1
22,149461,318,0,2,0
52,76550,631,2,4,0
40,39826,755,13,5,0
46,115734,408,5,5,0
60,113511,567,17,2,1
28,26653,744,0,5,0
35,96941,539,5,0,1
29,48662,600,5,3,0
26,113818,402,20,5,1
27,110081,549,15,2,1
34,51877,752,4,4,0
55,126562,819,16,2,1
24,87715,452,9,1,0
30,125091,473,20,2,0
57,147632,642,17,0,1
59,94148,730,6,3,1
26,98186,623,2,3,1
44,138629,719,12,5,1
19,85316,784,14,0,1
22,43380,711,19,1,1
46,125198,383,18,0,1
54,17356,412,2,2,0
55,85326,631,3,0,0
36,107447,677,4,0,0
25,129994,340,0,1,0
18,35049,404,3,2,0
39,120361,501,11,4,0
34,31082,749,9,4,0
24,15661,565,20,3,0
42,17920,509,19,5,0
21,94561,417,12,0,1
53,23946,676,13,3,0
23,31309,850,4,1,0
48,70230,839,3,4,0
36,126822,383,13,0,0
56,127340,753,9,1,1
44,74321,813,16,5,1
27,147028,686,9,1,1
43,89131,649,6,0,0
36,40963,595,15,5,1
56,116757,557,0,1,0
20,114259,380,16,5,1
30,54063,567,20,0,1
45,129225,718,8,0,1
37,131400,534,5,5,0
45,95818,610,18,2,1
25,19703,656,12,3,0
58,87099,512,2,1,1
56,46585,348,6,1,1
18,58585,426,8,2,1
20,41958,522,4,2,0
30,41017,578,9,2,0
45,139677,707,16,4,1
42,44426,804,11,4,0
50,32778,593,15,5,0
55,57229,576,2,4,0
23,101652,737,8,0,1
49,143267,406,14,5,0
38,141503,719,4,1,0
33,99878,728,12,3,0
38,72056,674,13,0,1
28,34975,372,19,1,0
54,103397,329,14,1,0
53,48142,487,15,5,1
52,41916,663,12,2,1
36,79324,750,16,2,0
37,140932,494,7,0,1
35,111059,455,20,2,1
58,113317,471,1,1,0
31,50046,340,4,2,0
32,116459,362,5,4,0
48,60893,322,11,2,0
18,116520,659,17,1,1
20,140818,374,0,5,0
33,76272,417,16,0,0
40,82649,679,10,3,1
28,79674,589,9,2,1
29,101475,739,18,1,0
27,76367,306,13,3,0
49,136750,495,9,3,0
33,133154,720,14,4,0
25,59738,492,18,3,1
55,48397,447,3,5,0
29,97189,501,1,1,0
41,91367,743,8,1,0
45,135585,718,9,2,1
25,91619,726,10,2,0
45,126453,778,13,2,1
53,34816,774,6,5,0
43,94530,425,14,3,0
25,123856,694,18,3,1
45,86635,624,14,4,0
45,122803,691,7,5,1
54,50946,739,10,2,1
58,70204,503,8,0,1
53,30563,785,14,4,0
44,107324,330,0,0,0
34,24847,687,0,3,0
26,41155,733,18,4,0
50,94671,675,2,4,0
37,131891,643,9,1,1
30,98310,742,7,3,0
45,146691,374,14,3,0
46,49707,454,9,5,0
30,96537,729,0,4,0
52,106155,662,17,3,1
23,15281,747,1,4,0
35,147130,533,18,5,1
22,91260,561,12,5,0
42,79178,424,0,1,0
19,48997,544,1,4,0
27,134273,841,15,3,0
47,147311,784,14,3,1
22,141945,421,12,4,0
50,60272,424,15,4,0
18,104393,848,16,4,0
35,76212,469,20,2,1
49,135030,423,6,3,1
28,71503,334,16,5,0
38,21570,386,6,3,0
43,83785,500,12,2,1
42,24110,668,4,4,0
39,94141,376,16,1,1
44,27115,358,2,4,0
30,54062,730,6,4,1
50,37911,799,16,2,1
51,119061,408,6,3,0
58,47556,577,20,4,0
52,143335,367,0,3,1
18,16969,368,16,0,1
38,58753,464,16,5,1
23,136863,788,10,3,1
45,25225,604,2,1,1
34,138008,664,14,5,1
22,120823,678,20,1,1
48,28669,642,10,4,0
22,139398,653,15,5,1
55,125677,715,8,3,1
20,63320,408,0,5,0
40,140354,796,15,4,1
54,103009,640,8,2,1
54,43625,682,18,1,1
27,39089,832,11,4,0
27,51487,599,18,2,0
36,125448,438,8,5,0
34,65138,658,6,5,0
38,69061,798,13,4,1
31,116376,684,18,3,1
26,94134,579,18,5,0
18,62055,782,1,3,0
30,34508,410,8,3,0
21,125169,438,12,3,0
18,23125,734,14,0,1
57,51059,808,2,2,0
49,118409,572,10,2,1
51,20704,398,20,5,1
45,126279,403,13,5,0
48,133516,513,7,3,0
25,129044,464,17,0,1
56,44165,819,18,3,1
43,82203,583,15,0,1
51,19114,816,1,3,0
20,51321,463,7,1,0
29,88297,363,5,1,0
18,111652,390,11,4,1
22,114304,416,14,3,0
47,32772,566,7,5,0
47,118754,439,3,2,1
34,18712,545,14,4,0
40,147439,694,19,5,0
32,130142,786,16,1,1
54,106736,775,12,3,0
38,66924,816,17,4,1
31,18726,483,1,3,0
19,104152,319,12,1,0
28,42723,823,12,4,1
56,141969,828,14,1,1
55,115494,446,19,0,1
51,50643,603,9,1,0
55,118896,527,2,3,0
51,108680,401,18,2,0
35,111546,716,2,1,1
47,94973,515,13,5,1
32,78449,706,7,2,0
44,124834,698,3,0,1
51,40537,798,19,4,1
55,92576,764,10,4,1
50,122522,381,10,2,1
41,37612,664,10,4,1
32,21471,462,1,1,0
47,46348,347,16,2,0
59,16177,810,8,3,1
34,47779,628,1,1,0
22,36636,415,14,1,0
46,96889,636,15,1,1
21,68551,446,3,3,0
27,61819,622,7,0,1
34,88770,742,8,5,0
27,93714,312,4,4,0
34,39596,793,15,2,1
37,79106,586,12,0,1
41,74182,413,6,2,1
22,102163,779,19,4,1
51,54310,321,16,3,0
23,71088,648,2,1,0
19,143803,619,4,1,0
30,51914,425,18,3,0
60,125350,576,11,0,0
60,60379,503,6,0,1
28,61413,493,8,2,0
40,22151,846,5,3,0
33,72716,585,16,0,1
48,108747,356,15,3,0
28,136999,602,2,4,0
33,129793,462,20,1,1
25,123177,318,3,1,1
21,27289,669,9,1,0
57,101365,563,4,3,1
21,129014,412,20,3,1
42,87588,787,9,2,1
20,78646,626,11,1,0
49,18654,841,9,2,0
20,33743,364,12,1,0
44,63368,591,10,2,1
46,134735,324,15,2,0
49,134891,848,7,4,0
36,122971,300,7,2,0
38,27149,848,7,3,1
22,115102,440,12,2,0
35,74189,487,1,1,0
45,86031,427,11,2,0
59,57668,500,9,0,1
39,103204,426,11,5,1
38,52384,556,10,1,0
23,96929,846,14,0,1
18,142959,493,15,1,1
22,91153,403,16,3,1
58,90388,834,1,5,1
29,46401,564,17,5,0
43,134503,683,11,3,1
51,142834,559,18,5,0
31,49084,713,17,3,1
43,125641,657,16,0,1
44,120111,374,5,4,0
26,51041,654,14,1,1
43,103920,487,2,3,0
39,80681,589,5,1,0
47,96571,344,2,0,0
60,142556,382,0,4,1
34,41160,422,12,0,1
43,32633,657,20,5,1
53,32014,827,13,1,1
18,95532,365,12,4,0
25,64104,674,3,5,0
52,92231,461,6,4,0
32,83388,679,9,5,0
39,31014,657,6,0,0
31,107578,487,20,3,1
43,55390,621,14,1,1
45,38711,749,14,2,1
40,106658,773,3,2,1
31,72993,312,5,0,1
41,22421,483,19,1,1
19,32727,410,4,1,0
43,127418,807,19,0,1
31,19358,589,11,1,0
24,80108,594,0,3,0
20,109018,750,7,0,1
40,139457,514,0,3,1
60,46910,326,4,1,1
35,141888,530,5,0,0
55,70754,620,20,1,1
52,124847,532,2,0,0
32,53467,736,14,1,1
42,48893,832,4,3,1
54,91329,702,13,3,1
45,46007,352,17,1,0
27,69253,612,15,0,1
56,27323,580,5,2,1
34,126335,330,13,3,0
56,127356,636,7,3,1
39,125944,482,6,5,1
43,31456,322,7,2,0
42,46367,843,12,1,1
34,69624,745,5,0,1
30,83008,373,17,5,0
37,140926,309,1,1,0
42,130395,783,7,4,1
21,131492,755,10,3,0
27,87240,459,0,4,0
20,79315,313,5,3,0
58,25756,477,15,3,0
35,51378,711,19,4,0
53,140703,352,11,4,0
39,71549,707,10,1,1
51,88794,321,9,5,1
25,60113,329,2,5,0
57,89069,559,12,4,1
36,140541,504,2,1,1
59,24686,358,14,5,0
58,68363,770,15,1,1
54,112543,765,12,1,1
23,146733,311,16,3,1
43,110673,589,2,5,0
51,57828,653,19,5,1
23,63604,374,10,3,1
54,25526,740,20,4,1
50,83910,540,18,3,1
39,40592,453,10,5,0
38,43982,395,15,5,0
23,15207,593,20,4,0
23,103733,508,2,3,0
21,139982,642,5,0,1
47,83619,387,13,0,1
28,61479,689,17,4,0
47,96437,624,16,3,0
48,113540,456,3,3,0
41,87982,436,14,1,1
26,117747,727,10,5,0
20,63231,751,2,2,1
48,44301,440,2,4,0
57,33752,382,15,2,0
54,113452,476,4,2,1
53,136237,497,20,4,0
41,71273,720,9,3,1
48,106878,700,18,4,0
23,19895,770,3,2,0
19,134968,517,18,5,0
37,130700,474,10,5,0
45,91559,322,1,5,0
28,25699,534,9,3,0
21,24715,312,10,0,0
32,34169,400,19,4,0
23,133413,835,15,5,1
47,134264,822,18,4,1
55,20782,751,10,5,0
19,139481,730,13,3,0
32,50585,832,1,0,1
28,45682,592,4,0,0
25,144992,400,4,5,0
43,99416,801,18,3,1
22,142810,603,20,1,0
23,53067,839,11,4,1
43,33073,654,17,4,1
21,51035,602,3,2,0
36,105373,795,16,3,0
37,98362,526,9,2,0
50,105517,535,19,5,1
37,80450,754,5,2,1
29,25382,312,13,0,0
18,76929,509,10,4,0
43,113864,696,10,2,1
31,40169,399,17,0,1
55,102468,330,17,3,1
54,49594,827,10,2,1
28,60033,628,20,5,1
53,78133,465,11,5,1
30,88861,758,4,5,0
60,46750,399,8,4,1
20,55461,472,8,2,0
50,93222,461,9,3,0
23,127020,562,18,2,1
27,39226,573,0,4,1
22,21721,302,6,0,0
40,35609,327,3,4,0
27,145513,625,0,5,0
19,119211,448,14,0,1
30,139865,839,7,5,0
57,89520,787,11,1,1
19,79309,737,17,4,0
37,44984,364,14,4,0
18,133947,655,16,3,0
54,20901,832,13,2,1
26,46055,551,13,0,1
34,129099,534,17,0,1
26,26138,526,19,3,0
28,38429,824,17,3,1
32,65200,612,15,2,1
41,116268,348,0,5,0
55,32347,417,10,2,0
52,46822,353,14,4,1
47,55108,343,11,5,0
48,143955,352,7,1,1
22,22967,824,19,2,0
31,125719,401,5,3,0
28,26871,697,2,5,0
26,43179,437,12,2,0
51,70099,686,12,0,1
29,50262,410,1,1,0
52,93213,316,4,4,0
52,132407,481,16,0,1
18,101269,835,5,0,1
57,75545,840,1,1,1
39,54922,470,3,4,0
46,57913,708,10,3,1
25,112033,677,7,5,0
28,119792,487,11,4,0
58,134863,529,7,2,0
54,59936,418,10,0,1
31,43141,455,19,2,1
47,112359,764,7,3,1
52,138279,403,7,2,0
38,56568,801,16,4,1
54,112539,474,19,2,0
22,61851,720,19,3,1
36,69823,433,15,3,0
31,38312,690,13,3,0
43,113723,800,10,4,0
21,27411,332,6,3,0
42,72009,354,15,0,1
59,47371,818,12,3,1
42,72022,311,14,2,1
35,86229,827,15,5,1
57,114071,672,20,2,1
25,111774,783,8,5,0
56,41715,527,2,2,0
57,42605,606,18,4,1
31,114853,756,19,2,1
49,46174,459,4,4,0
55,91373,630,9,4,1
50,84252,524,16,3,1
40,85017,803,14,0,1
32,78037,755,7,5,0
50,104818,344,14,3,1
42,21548,513,20,3,1
34,131981,358,13,4,0
50,39022,494,19,4,1
19,121297,788,6,5,0
31,75428,456,20,2,0
57,74353,525,11,2,0
57,128132,711,16,3,1
56,31052,504,16,1,1
23,115689,378,9,1,1
23,146743,423,18,2,1
20,15163,770,13,1,1
24,56424,517,10,2,1
25,37420,815,1,4,0
59,135575,403,17,3,0
32,44300,692,6,0,1
46,104881,733,11,3,1
50,25749,630,1,2,0
47,119131,442,19,2,1
56,143563,839,17,3,1
44,52487,577,5,5,0
53,36223,532,9,2,0
46,87930,828,19,1,1
55,43380,389,14,1,1
50,41035,791,4,2,0
54,45620,498,19,2,1
44,132360,661,2,5,0
50,68352,740,4,1,1
21,18191,325,7,2,0
39,105536,324,7,2,1
19,119576,693,7,5,0
27,18631,806,11,5,0
