Age,Salary,Experience,Purchased
28,149672,18,1
41,44309,14,0
26,137780,0,0
29,125473,20,1
29,37615,15,0
36,106751,19,1
45,39054,10,0
54,117617,10,1
60,145912,17,1
22,35936,7,0
60,93334,7,1
25,131763,3,0
60,44347,14,0
30,96503,0,1
22,103032,1,0
38,111969,11,1
47,56160,7,0
53,126016,18,1
31,62560,5,0
25,118281,19,1
35,148460,18,1
29,78866,14,1
60,84578,14,1
36,20463,14,0
38,59412,2,0
48,108587,18,1
39,129230,8,1
49,97199,6,1
44,144670,3,1
35,117972,18,1
42,95561,9,1
21,121758,8,1
20,30856,19,0
51,93024,7,1
58,110358,7,1
60,67841,19,1
36,53855,20,1
26,28334,9,0
48,26746,18,0
43,52448,2,0
38,103647,13,1
31,70637,4,1
54,113907,16,1
52,89441,5,1
36,144313,9,1
41,48191,14,1
24,54898,7,0
45,113885,2,1
45,21648,8,0
54,50398,14,1
43,86724,18,1
44,115379,3,1
34,141594,0,1
59,103984,19,1
34,34571,20,0
49,97217,20,1
46,48585,4,0
22,27754,9,0
51,48440,3,0
35,53563,12,1
49,115258,17,1
46,58507,13,1
26,146279,19,1
46,91332,1,1
43,74955,14,1
48,79895,11,1
26,114294,17,1
42,33872,12,0
37,67757,3,1
49,42031,6,0
60,23598,1,0
41,81850,4,1
56,71793,2,1
55,72305,18,1
33,79079,10,1
29,18743,8,0
29,52076,17,1
36,63743,3,0
21,52551,0,0
42,80372,18,1
40,22136,5,0
36,31736,4,0
46,47792,2,0
50,135512,11,1
52,46587,14,1
52,76077,19,1
22,97070,14,1
21,33945,15,0
45,129745,3,1
51,134277,2,1
25,102439,19,1
29,35218,4,0
37,103245,12,1
58,95305,14,1
52,130774,3,1
27,74367,13,1
48,77898,13,1
41,136882,12,1
46,42926,10,0
47,99926,8,1
43,58013,15,1
24,41914,2,0
25,131213,3,0
43,52108,17,1
23,104414,3,0
46,110693,13,1
23,93400,19,1
39,110181,3,1
56,73768,4,1
50,76784,3,1
42,114353,3,1
37,77286,13,1
55,24882,19,0
37,25589,5,0
37,98998,10,1
42,19600,5,0
29,123063,2,1
29,26036,2,0
53,74395,12,1
46,136920,10,1
30,115007,9,1
40,40270,1,0
29,59264,19,1
23,39386,8,0
48,129152,15,1
58,133879,13,1
37,74510,16,1
27,108484,13,1
27,92251,18,1
51,98850,1,1
34,121615,19,1
23,20015,6,0
39,73373,4,1
36,93876,10,1
27,20026,15,0
47,64057,4,0
44,78322,16,1
55,110842,2,1
45,29089,13,0
21,138521,2,0
40,130534,18,1
45,127495,9,1
27,124176,0,0
40,63055,19,1
49,112857,2,1
47,45751,7,0
47,122975,16,1
25,121747,9,1
41,76083,10,1
30,38022,16,0
60,47891,16,1
52,68830,11,1
42,56716,7,0
26,56389,8,1
32,63481,19,1
29,37753,5,0
60,147529,14,1
56,135677,18,1
60,102727,20,1
40,57572,14,1
24,140924,14,1
60,97382,8,1
57,32725,11,0
52,37448,9,0
49,136466,1,1
23,114662,9,1
24,41670,19,0
58,118789,14,1
57,28753,14,0
56,67345,10,1
58,142683,16,1
29,34219,14,0
26,108030,2,0
52,63235,1,0
35,132755,14,1
53,59614,11,1
43,92158,12,1
46,106700,19,1
23,105726,2,0
41,42774,17,0
44,92487,8,1
58,57419,10,1
25,55074,11,1
39,120749,4,1
58,40208,9,0
55,116744,20,1
41,51500,16,1
25,128993,16,1
43,22779,11,0
39,65254,6,1
41,145473,6,1
34,54061,4,0
24,95540,3,0
52,27895,10,0
59,52353,19,1
44,58436,5,0
31,61395,14,1
22,125704,11,1
35,134444,19,1
38,135683,7,1
54,80696,9,1
50,68860,11,1
56,133499,14,1
38,118105,16,1
53,127749,5,1
32,54280,8,1
23,143983,11,1
55,44893,16,0
27,92727,2,0
30,89510,14,1
52,56626,13,1
25,76205,14,1
42,24991,13,0
23,121928,16,1
43,79807,12,1
25,116281,7,0
21,101541,3,0
41,56285,4,0
22,93203,15,1
28,140974,14,1
59,19376,2,0
21,85088,6,0
29,128953,3,1
38,80295,9,1
27,30517,7,0
46,137829,2,1
27,149027,19,1
54,22308,20,0
52,81422,4,1
38,130522,0,1
59,110488,7,1
56,127200,5,1
25,112530,2,0
53,23330,12,0
50,29412,20,0
44,115858,8,1
21,111610,2,0
42,81209,20,1
26,105167,4,0
22,110353,17,1
41,63898,14,1
50,65783,4,1
24,137977,1,0
38,70845,1,1
32,28985,10,0
39,122392,17,1
50,84404,1,1
32,93002,11,1
23,105012,8,1
27,114474,13,1
45,133274,12,1
41,66973,15,1
51,114297,16,1
37,39656,13,0
25,130881,19,1
31,95009,10,1
26,38989,10,0
38,98346,14,1
58,129703,5,1
48,110155,14,1
22,110421,19,1
47,89973,20,1
23,37671,20,0
45,113239,16,1
30,26163,4,0
58,132864,1,1
28,35624,7,0
43,112935,12,1
56,26489,19,0
29,135944,11,1
43,134376,2,1
56,54095,16,1
43,122342,10,1
37,83434,3,1
21,66771,15,1
53,119446,17,1
27,86623,8,1
48,74248,19,1
38,146765,6,1
27,53580,2,0
48,63260,14,1
25,101778,11,1
24,94116,9,1
30,63636,11,1
52,76783,3,1
32,54405,7,0
51,24890,11,0
55,114707,14,1
55,52018,19,1
25,35235,9,0
45,143479,16,1
46,125330,18,1
24,50853,10,1
24,135958,14,1
53,108312,4,1
55,65700,4,1
47,149822,1,1
27,58112,9,1
30,60458,10,1
34,108707,16,1
38,38672,8,0
32,89945,4,1
60,97383,19,1
54,42491,16,0
30,58421,5,0
59,106504,18,1
22,25437,2,0
22,87377,20,1
33,127205,19,1
60,25939,15,0
60,93935,20,1
39,144601,7,1
45,95970,14,1
24,33705,5,0
48,126952,15,1
49,71483,10,1
58,55661,10,1
40,108536,12,1
28,115134,16,1
55,45835,10,1
35,140282,3,1
37,135858,7,1
29,43378,1,0
38,118702,19,1
46,83082,5,1
40,99976,6,1
30,148617,16,1
49,148746,9,1
51,24075,2,0
45,137860,7,1
33,110509,1,1
23,91755,15,1
58,141361,9,1
54,20143,3,0
47,53110,8,1
43,123710,11,1
22,123010,1,0
56,69027,11,1
55,93655,2,1
44,136057,17,1
37,49145,4,0
26,121259,11,1
41,113841,4,1
32,123221,16,1
22,29876,1,0
28,105304,15,1
53,137796,4,1
58,54642,10,1
59,101500,5,1
45,96442,18,1
41,146410,18,1
39,142490,0,1
43,104832,3,1
46,98655,20,1
21,142410,8,1
57,77649,1,1
57,143946,5,1
53,117664,4,1
35,26276,18,0
27,68012,0,0
48,100232,13,1
29,126255,6,1
46,149548,19,1
50,34326,4,0
53,72353,17,1
40,143402,16,1
44,100248,5,1
49,107738,17,1
42,87300,19,1
50,68400,7,1
37,96249,7,1
39,93760,6,1
51,101110,15,1
42,89685,9,1
27,117534,12,1
42,56397,9,1
22,93400,2,0
42,133966,20,1
36,143587,6,1
32,89075,17,1
37,53985,3,0
59,80726,7,1
23,77158,20,1
34,31760,3,0
46,104584,15,1
26,54036,0,0
55,59403,13,1
50,143160,20,1
32,93299,10,1
38,33509,2,0
56,78875,17,1
22,63892,13,1
31,27526,12,0
51,66840,9,1
22,20429,9,0
56,46128,10,1
38,137104,20,1
54,147476,4,1
52,140688,8,1
32,47529,10,1
30,138301,20,1
36,66810,0,1
41,95338,18,1
32,64004,19,1
60,124296,13,1
52,103964,2,1
45,43004,5,0
28,143161,10,1
35,19790,8,0
44,79740,14,1
37,104409,9,1
57,20997,8,0
43,79945,1,1
27,140000,9,1
30,124277,16,1
39,48779,20,1
38,114349,19,1
34,75443,4,1
50,58156,14,1
58,115943,13,1
55,141424,17,1
33,82871,19,1
25,135112,16,1
43,38474,18,0
27,34189,17,0
52,70994,18,1
54,57282,5,0
40,133825,3,1
33,146143,2,1
52,134780,1,1
49,52588,16,1
46,137746,18,1
23,139209,9,1
21,121795,8,1
20,75121,18,1
24,29872,13,0
42,34714,17,0
23,36092,15,0
22,93259,13,1
31,53501,20,1
46,116162,12,1
48,116958,12,1
25,52862,20,1
42,49098,5,0
54,121037,16,1
28,76376,0,1
21,96214,14,1
54,129182,17,1
44,78205,7,1
49,108743,4,1
37,67409,3,1
22,127901,19,1
21,81089,6,0
24,44449,19,0
22,135031,19,1
23,82155,1,0
45,133071,7,1
54,74955,1,1
28,93828,7,1
56,101598,18,1
58,102060,7,1
39,55554,16,1
34,126412,9,1
37,33979,17,0
57,63910,20,1
47,147924,1,1
42,117917,16,1
40,127137,13,1
29,96613,12,1
31,142130,7,1
34,96836,4,1
49,33105,17,0
46,127185,17,1
53,53151,12,1
35,84845,6,1
41,38727,14,0
43,42238,17,0
32,31510,8,0
44,28367,2,0
32,74889,15,1
33,105284,9,1
20,73524,6,0
27,143546,7,0
58,71611,12,1
35,102309,9,1
44,140224,17,1
42,98851,8,1
43,148358,14,1
26,141074,10,1
33,115178,10,1
46,29984,18,0
34,56252,0,0
36,127465,9,1
29,69430,10,1
34,117572,18,1
35,148888,17,1
41,85456,15,1
51,138803,5,1
42,62371,4,0
54,146009,5,1
54,33396,16,0
22,37485,1,0
20,126106,4,0
60,78668,2,1
29,20396,6,0
52,137540,11,1
23,144669,15,1
21,19733,17,0
55,125829,0,1
21,90021,17,1
38,22493,16,0
47,64993,3,0
26,57032,7,0
32,84169,11,1
37,122044,2,1
43,124437,14,1
56,81755,7,1
39,39133,20,0
22,42510,12,0
44,116872,17,1
50,32710,20,0
20,62927,2,0
51,131746,20,1
41,42998,16,0
22,78231,6,0
56,142649,8,1
22,37489,8,0
54,26625,5,0
40,22104,6,0
57,55798,12,1
24,96453,5,0
56,81038,18,1
44,104960,12,1
28,38559,16,0
42,32076,3,0
47,78855,2,1
41,121993,10,1
21,89651,14,1
51,77805,11,1
55,116415,13,1
31,117633,2,1
59,95431,7,1
24,39505,8,0
29,117614,20,1
29,120137,10,1
43,45931,2,0
20,98810,14,1
43,88717,3,1
28,40884,5,0
47,135661,17,1
55,124966,3,1
21,41493,11,0
55,42396,19,0
58,103047,12,1
20,94506,13,1
44,40203,17,0
35,62455,12,1
30,54396,8,1
39,88361,15,1
29,34585,5,0
47,90341,13,1
39,144938,2,1
43,83981,7,1
60,147971,19,1
59,69261,14,1
26,53517,9,1
20,121728,10,1
59,117585,10,1
48,105749,13,1
58,53684,9,1
40,70652,15,1
40,64566,12,1
40,94401,20,1
51,81550,10,1
44,91479,12,1
43,47855,18,1
32,65166,17,1
21,139011,6,0
48,94370,2,1
46,148889,4,1
60,97385,7,1
36,58407,13,1
44,37389,14,0
58,143628,18,1
45,127655,17,1
22,112248,17,1
58,40277,3,0
35,111063,5,1
59,29612,18,0
45,104926,13,1
26,20765,3,0
36,76196,16,1
53,75942,14,1
43,120533,14,1
57,149194,4,1
42,24438,15,0
26,95445,13,1
25,48426,4,0
42,99760,10,1
49,72229,16,1
50,109304,15,1
26,132862,14,1
40,35609,9,0
22,48168,0,0
41,46668,5,0
35,63731,17,1
30,104766,17,1
47,139124,7,1
45,66352,5,1
60,131281,12,1
21,69727,14,1
57,130604,12,1
20,74307,6,0
37,34400,18,0
26,67010,11,1
40,69661,14,1
27,86774,15,1
53,100157,19,1
44,120903,18,1
27,109206,11,1
49,63227,9,1
59,40217,4,0
40,48896,7,0
39,48657,5,0
43,55056,16,1
44,127638,19,1
28,118587,13,1
31,145577,20,1
54,63412,17,1
30,146356,9,1
28,67046,10,1
48,32053,11,0
20,145037,4,0
32,118648,17,1
52,147753,13,1
51,126955,14,1
51,61844,2,0
56,26089,7,0
38,26570,8,0
34,93673,5,1
49,147843,17,1
52,47677,18,1
27,88225,17,1
43,28907,14,0
54,75289,13,1
26,82888,9,1
22,135894,8,1
42,40802,14,0
27,80113,6,0
57,109915,19,1
60,130241,5,1
59,54499,6,0
33,33560,18,0
42,91684,19,1
54,62139,10,1
38,93846,18,1
37,42962,4,0
46,33541,8,0
28,52784,7,0
29,102435,7,1
45,146308,4,1
56,88442,20,1
46,116349,14,1
24,42404,12,0
52,90935,11,1
49,145937,10,1
57,18648,2,0
49,111905,2,1
54,122258,6,1
47,73535,15,1
37,102637,9,1
41,52234,18,1
51,108109,1,1
22,44102,20,0
49,22268,3,0
30,133680,14,1
20,130145,6,0
