Age,Annual_Income,Monthly_Spending,Credit_Score,Savings,Loan_Amount,Years_Employed,Purchases_Per_Year,Website_Visits_Per_Month,Spending_Score
46,30124.4,1000.0,566.96,13215.88,109683.71,27,14.18,9.54,29.03
35,21393.55,1000.0,497.82,5526.28,90594.33,12,13.02,12.46,55.51
43,69591.0,2832.92,698.06,54176.35,257786.44,20,4.45,5.15,41.64
61,78881.46,1605.22,722.97,17623.0,57906.99,37,17.73,9.94,35.37
51,51597.54,1000.0,682.55,77758.36,203995.2,29,15.76,20.64,36.29
27,47974.73,1000.0,575.8,48185.81,69991.18,2,12.9,20.71,40.38
53,78099.63,3311.77,762.35,47501.68,255680.84,29,11.2,9.2,50.27
31,39380.31,1000.0,582.63,27163.2,112866.23,12,7.48,13.43,44.04
48,35459.29,1000.0,548.84,31722.69,170522.58,30,16.12,29.57,32.03
65,72737.46,1602.18,709.37,72047.86,205517.36,39,21.08,25.72,41.78
32,60162.69,1362.86,714.36,12728.13,121866.75,10,13.78,9.51,41.68
25,79167.78,2752.56,715.71,56342.78,295107.28,0,19.83,23.36,41.37
31,21475.21,1000.0,587.55,40205.08,1000.0,3,9.86,11.05,60.92
40,34787.87,1000.0,616.91,16216.95,57892.59,18,9.21,15.81,46.57
57,60257.98,1572.02,821.83,35157.88,244195.73,28,17.1,28.53,75.55
38,67518.13,2579.52,688.49,66477.01,130743.84,11,11.01,12.37,57.84
33,75245.95,2024.96,718.25,86872.6,225537.74,12,26.99,30.95,65.6
62,63146.72,2738.55,739.3,62956.37,82621.91,43,9.13,7.62,46.17
35,62963.79,1843.2,686.56,24331.0,70810.16,13,17.72,14.99,68.67
64,52990.77,1276.61,670.27,18656.06,145734.07,45,16.05,6.36,61.81
41,88636.29,3978.51,686.86,48003.87,242449.39,12,19.17,26.55,54.24
43,40145.58,1071.6,614.95,41060.7,63829.88,19,21.43,11.7,19.05
42,66462.36,1342.93,667.66,36743.37,116744.72,14,3.22,1.59,20.62
62,42219.44,1000.0,605.08,34768.6,64885.18,36,16.28,17.53,38.45
58,69626.01,3180.01,720.42,102743.0,236399.93,32,15.6,26.17,50.31
46,41333.68,1554.13,621.53,39241.76,71957.0,18,17.05,7.42,32.84
32,73388.68,1917.06,754.91,30124.27,250829.06,9,17.61,19.18,57.33
62,62017.89,2483.53,728.98,34832.24,69624.75,44,15.83,8.96,48.33
18,91403.51,2808.54,766.24,62091.47,299281.38,0,13.1,22.56,50.96
42,54941.65,1268.03,678.3,45140.45,132663.28,20,12.13,14.34,49.24
24,67649.39,2521.94,611.43,30892.21,133170.69,3,32.42,35.47,30.56
26,45966.19,1717.44,652.05,42885.88,7439.63,0,17.56,13.48,72.22
41,54817.93,1599.17,711.84,17848.27,194630.92,18,20.74,17.24,47.75
18,61903.49,1000.0,644.77,59234.5,298372.0,0,14.43,10.43,55.16
61,32510.04,1000.0,631.53,32786.65,75851.19,38,8.97,18.52,45.72
25,34482.77,1337.64,583.11,16376.72,75609.99,6,17.33,24.24,45.88
41,70797.47,2828.3,686.44,25590.64,99063.5,17,7.56,7.02,48.04
28,57370.44,2014.26,736.2,29625.13,97929.21,7,12.48,18.62,38.74
68,49327.32,1996.23,646.5,45436.5,78306.13,39,13.16,13.7,43.95
34,46734.25,1705.0,679.21,56747.63,30087.91,8,19.4,8.86,53.5
25,47427.2,2010.81,554.41,48253.78,90970.72,0,16.81,19.28,49.45
52,62025.91,1086.28,658.64,64498.59,110561.65,33,13.84,18.97,48.45
52,68010.65,1729.15,736.05,32338.5,195592.41,30,18.65,23.56,57.31
50,22342.07,1000.0,572.62,17081.52,16640.12,29,10.72,12.86,60.63
22,85431.01,1915.54,748.02,80245.29,128853.61,0,23.89,20.02,80.49
59,84150.61,3086.55,779.63,42007.52,169928.26,38,19.6,16.23,56.76
56,18048.21,1000.0,516.73,500.0,87255.43,31,20.49,23.86,46.24
58,79546.68,2088.05,793.42,81348.34,296240.47,33,16.57,18.7,34.31
45,78993.94,3466.63,727.42,44812.28,119577.41,22,24.03,18.64,46.74
24,60008.02,1783.78,643.32,76511.97,130898.53,1,16.45,17.93,36.67
26,36650.96,1096.49,576.2,18482.27,53929.39,0,10.18,15.74,46.72
25,78274.11,2544.48,731.15,31620.7,206865.4,0,30.84,30.31,62.14
29,55657.84,1193.55,647.78,38570.02,79537.59,0,22.11,20.47,58.94
51,69879.82,1766.47,733.32,84826.51,154784.31,22,18.16,23.93,51.93
50,99945.62,3092.44,797.75,92159.34,165441.54,23,23.82,17.74,54.49
65,64533.06,2832.96,677.58,22870.02,215329.33,39,11.04,12.97,48.36
40,43496.08,1475.52,646.39,46946.22,72916.0,18,9.12,16.05,62.39
41,53956.84,1273.59,638.04,25876.28,91327.11,13,20.97,21.23,41.13
54,45789.98,1000.0,659.48,500.0,147548.17,36,14.6,15.64,39.47
52,67802.81,3066.19,718.1,12108.64,159343.29,34,16.0,12.47,67.23
61,45490.78,1316.18,649.31,17193.82,25220.72,42,13.11,7.74,38.0
57,51488.67,2254.34,638.36,37775.24,65725.16,30,15.91,12.71,63.98
39,36880.25,1136.34,582.31,13674.66,121657.95,12,12.42,19.55,64.62
44,57622.43,1883.23,709.26,56784.84,82816.5,22,5.6,5.66,38.7
52,63181.59,2289.09,717.18,54967.26,133605.36,31,23.4,21.38,54.58
18,15000.0,1000.0,499.64,11695.07,6780.17,0,10.95,22.61,58.76
52,64672.32,2315.23,674.54,66592.3,225925.55,31,25.62,28.08,75.31
54,59177.4,1778.86,737.82,52706.72,63206.12,33,7.11,9.22,44.16
64,46230.14,1614.17,682.97,49747.7,146196.77,37,5.79,7.82,41.66
31,96515.32,3895.47,736.9,80739.67,139399.91,10,18.27,24.99,61.79
20,77252.58,1440.06,732.29,86868.33,126763.22,2,22.61,19.12,47.27
18,40264.76,1326.79,639.65,45633.95,118314.95,0,7.93,10.59,50.58
22,75088.26,1069.03,769.98,15458.08,188908.27,2,11.22,11.91,25.2
43,82400.97,1310.49,752.92,47789.26,143473.56,22,20.1,27.27,79.56
31,62376.38,2182.33,708.9,71637.72,73074.05,9,14.67,15.23,70.55
56,66505.96,1000.0,741.43,26737.12,197803.91,32,19.37,16.94,49.19
44,66090.24,2137.71,746.23,63144.55,106601.59,21,15.13,19.07,38.38
26,22455.31,1000.0,559.23,20837.99,1000.0,4,14.17,24.66,40.1
32,56636.35,1282.03,671.96,17995.3,155468.13,7,22.49,14.64,61.2
32,55699.57,1000.0,632.99,45340.82,112359.45,14,9.48,13.36,38.12
43,85742.8,1782.5,744.94,49434.97,33397.62,19,24.5,18.0,38.88
59,66007.1,2632.13,679.69,44620.48,41153.92,30,8.08,17.83,28.01
30,54643.0,1846.71,655.44,1062.06,76937.01,7,18.51,12.39,54.25
68,58377.75,2577.88,670.89,51431.65,204085.9,40,22.93,25.11,51.94
49,78420.94,1107.68,771.86,27734.56,230085.95,27,15.22,11.98,72.16
56,56677.48,2205.53,685.75,17251.35,89466.42,32,18.89,26.44,41.28
66,47432.48,1698.2,584.7,48432.11,144934.63,45,12.31,25.7,51.77
69,55037.36,1166.59,689.88,29482.96,192765.79,45,18.43,24.06,38.67
49,76932.53,2831.54,706.1,18190.74,292699.76,23,6.4,9.27,34.89
21,68930.97,2508.05,657.77,35928.91,250260.75,2,17.7,11.37,59.37
47,60796.82,1690.85,630.99,35417.15,204445.04,20,18.06,18.6,62.46
54,63447.71,2249.52,697.98,51893.76,47047.6,34,23.07,22.45,49.13
40,49924.64,1363.91,697.52,50940.77,33319.77,15,19.62,30.38,36.34
56,56508.91,1338.41,660.04,52024.71,194304.91,27,14.84,16.06,56.94
62,48060.52,1348.08,686.36,1671.76,50116.22,35,16.15,12.75,53.57
32,54693.97,2315.61,667.94,42221.17,74231.12,6,8.24,11.79,56.0
60,84231.21,2132.69,655.69,20286.3,58905.63,40,26.64,21.73,73.11
46,40598.31,1053.78,649.34,14719.27,143501.81,23,17.52,16.79,39.69
53,47603.08,1560.43,618.41,46889.58,124028.45,29,5.46,19.63,53.31
30,37422.62,1407.09,575.79,18973.9,42916.89,12,14.97,11.24,59.15
49,33523.64,1239.95,628.38,34178.13,100408.29,25,14.96,20.28,48.47
24,56638.11,1000.0,675.94,20414.65,218914.19,3,11.79,11.68,52.1
68,48883.03,1731.14,643.62,500.0,140171.44,45,15.37,15.59,51.24
39,91710.4,2523.73,779.5,33890.36,282155.06,14,14.8,15.3,57.59
45,54908.76,1645.6,626.61,25821.29,79045.49,24,8.47,6.09,37.16
19,83209.14,2597.97,829.28,87878.41,99369.91,0,15.25,18.62,64.86
59,77424.12,2856.23,740.04,47730.25,173947.83,34,18.6,6.73,55.31
62,56238.83,2261.42,675.86,48167.17,197719.8,40,20.27,17.68,41.63
23,97982.44,3335.52,790.03,95185.35,341733.3,0,20.15,20.58,59.73
45,64833.61,2029.09,621.76,57771.05,164739.89,16,21.17,22.71,57.59
45,87234.17,2177.28,731.35,90844.44,159990.32,17,21.97,23.03,57.46
61,85138.74,1455.53,700.35,57714.96,253370.29,39,13.34,8.69,45.98
61,67463.66,2998.93,643.01,68751.76,68826.88,43,19.95,16.88,37.72
37,73520.36,2050.83,651.19,44879.25,88228.5,13,20.7,20.19,42.8
47,71233.29,2234.85,685.12,68408.76,193732.63,24,25.83,19.33,73.31
28,39403.29,1479.03,619.13,35493.17,170879.79,9,15.99,17.08,53.09
45,61031.23,1000.0,619.09,27932.91,204780.15,17,9.93,14.65,59.13
42,79336.45,3252.82,769.5,57088.2,199036.5,18,15.16,12.9,50.78
56,87471.35,3417.29,775.8,108271.64,348087.18,33,9.48,14.85,32.81
50,47028.49,1801.86,630.66,49389.21,89460.29,28,17.26,15.81,56.22
18,69518.96,1000.0,805.85,72182.36,91677.82,0,25.22,18.57,58.55
44,62715.66,1884.65,677.32,16689.73,188066.53,22,4.32,14.63,56.2
69,57878.27,1000.0,709.55,40826.93,130893.47,41,24.27,19.57,47.16
30,66408.05,2049.51,708.65,71042.24,87813.18,11,19.13,11.21,47.04
58,63923.95,2329.92,756.52,38936.9,206601.23,35,11.01,10.15,22.65
20,69745.34,1155.1,758.04,46112.7,240386.0,0,18.26,19.01,63.21
56,85950.9,3065.25,744.35,27737.0,191229.43,38,13.37,16.05,51.0
23,74114.3,2036.99,710.48,19167.51,208640.18,1,19.61,13.28,47.7
25,65590.64,2594.23,636.41,39238.73,178591.82,2,16.88,19.92,58.33
44,93563.25,2833.68,785.91,97738.4,347699.64,20,21.0,19.49,39.71
26,79978.73,1895.82,769.4,83582.14,277121.26,7,13.4,7.13,76.09
54,58336.83,1374.79,672.23,45252.07,183385.72,36,11.97,5.02,25.02
50,38091.83,1615.71,677.3,15770.69,47625.83,27,16.32,17.48,43.38
68,42219.05,1165.06,633.19,31136.72,102896.64,45,11.71,11.59,40.77
59,76798.18,1998.68,786.53,77389.39,146054.86,37,18.42,13.47,44.63
61,48654.38,1000.0,638.62,53436.21,9112.35,32,17.13,13.89,46.69
41,41855.0,1031.48,573.39,36830.34,89826.62,13,13.07,13.66,48.75
32,46354.46,1892.23,610.94,34753.04,70600.32,13,20.41,18.67,55.2
49,47627.08,1803.46,641.43,12255.0,47141.43,31,13.83,14.08,44.45
49,75311.66,1495.97,692.21,65960.23,149411.17,31,16.45,15.78,39.68
41,57178.64,1502.0,597.06,10815.09,95645.41,13,12.56,23.65,51.88
58,35297.26,1000.0,515.79,500.0,76664.3,37,18.73,15.56,72.57
69,60558.81,2683.19,727.3,55019.74,136141.72,42,12.52,17.41,29.72
66,64000.79,2076.01,709.34,77032.8,169954.65,45,22.67,23.91,44.0
66,51371.94,1933.9,666.52,59197.1,49635.75,45,15.95,13.26,53.08
69,80805.93,2932.74,749.99,40817.03,193861.96,45,31.49,18.55,68.44
29,52423.1,2182.01,632.63,31851.28,187381.46,8,11.94,11.26,90.19
56,79950.08,3529.34,775.6,92295.79,296558.65,29,24.37,13.78,65.43
19,70742.09,1000.0,633.96,53992.06,117096.74,0,19.63,9.68,46.01
20,76678.9,3451.32,636.25,49381.92,202327.96,0,15.1,13.03,63.6
66,40226.08,1670.11,611.6,33142.26,59607.79,38,16.64,17.05,51.35
54,61769.58,1560.6,691.15,26820.73,197704.55,31,18.55,16.92,37.73
66,59049.1,2385.72,637.36,67379.33,240265.04,44,14.25,6.82,40.55
34,34403.88,1274.73,531.51,38998.05,124277.6,7,15.58,9.83,29.32
66,79891.09,3110.73,766.25,89095.89,101830.54,37,23.81,22.42,28.96
19,45286.78,1000.0,617.35,43393.03,160471.13,0,17.09,20.06,45.73
19,49027.78,1672.77,678.32,44944.82,182124.21,0,12.81,9.79,53.89
45,41760.31,1000.0,684.04,16887.27,157866.53,16,11.8,13.12,60.39
40,72621.35,2961.09,645.7,26531.31,298979.39,21,16.83,17.81,46.78
54,32533.27,1438.02,607.2,28093.78,31592.01,32,18.82,26.81,38.76
49,71121.75,2458.73,724.6,62079.09,150298.33,23,13.34,22.25,71.45
50,78801.25,2331.65,769.9,75947.77,136697.33,24,19.84,21.87,37.05
18,69669.21,2556.24,685.0,54415.09,143721.32,0,9.15,1.17,39.42
36,72827.31,1702.61,720.99,66075.37,59629.95,12,20.26,26.57,47.32
19,73671.84,2459.14,754.03,28546.96,230784.5,0,21.13,22.15,74.34
61,42910.36,1564.76,648.43,10180.39,125135.5,40,24.43,18.85,59.29
43,85825.23,1481.0,827.63,48319.61,193409.62,23,23.21,31.1,45.8
49,51718.63,1000.0,616.08,37276.05,136135.58,21,13.17,12.64,45.72
23,58805.02,2138.81,685.73,77851.44,138895.71,5,8.21,21.5,48.65
49,54012.53,1452.55,658.15,43938.0,165046.23,29,17.97,11.94,28.95
21,68847.76,2901.25,697.25,21080.92,155102.06,0,15.25,13.53,57.5
28,50315.33,1152.12,677.41,20395.51,133057.78,2,16.7,6.4,52.49
34,61204.48,1000.0,688.82,64626.15,2825.76,8,12.52,11.44,47.53
55,37763.81,1290.11,565.32,8119.65,44409.01,31,12.91,20.06,50.35
41,80963.97,2858.67,785.76,36843.01,95442.66,21,9.6,8.93,57.1
22,72073.34,2230.89,742.78,15374.05,59359.35,2,11.98,9.2,51.03
69,54739.32,1931.08,730.58,60130.49,150392.78,45,9.54,17.93,41.62
51,51555.32,1544.52,687.39,32236.92,64443.48,27,19.52,19.45,59.59
23,71603.31,2548.2,705.2,34584.24,295422.05,0,13.02,14.8,37.77
39,47268.72,1000.0,632.54,31350.51,76730.09,10,21.62,14.65,37.46
28,62256.58,1542.71,733.38,37022.45,218738.64,0,12.14,8.44,48.64
65,80905.18,1579.85,708.2,26915.13,119234.79,45,28.57,23.76,60.69
33,45397.37,1000.0,595.47,28389.71,33191.46,4,4.8,1.0,46.05
50,66634.81,1352.89,709.82,61744.66,165401.16,28,18.78,22.15,62.18
26,65683.05,1239.9,629.82,25918.66,280116.64,2,16.76,19.79,49.87
23,58247.94,2617.53,690.44,43459.83,14302.71,0,9.77,13.93,69.84
33,50931.79,1123.12,673.93,32726.69,148153.59,10,12.34,7.06,48.14
46,81866.35,1653.59,734.51,42853.02,97509.18,19,16.88,20.34,58.04
20,49243.76,1985.96,711.09,42523.31,176439.08,0,16.17,12.05,62.45
37,27383.3,1000.0,632.91,10523.46,100968.91,8,8.06,16.84,53.06
53,71529.6,1899.03,679.57,47518.8,64264.1,28,19.28,16.97,51.41
36,38376.54,1047.16,644.64,12530.74,129305.57,16,14.44,15.5,47.96
43,72453.86,1911.66,761.67,62276.39,275054.89,25,21.14,22.95,57.26
20,84028.26,1965.04,755.81,13380.83,196755.85,0,14.09,16.37,65.36
36,71335.5,1572.57,694.57,97393.35,87660.9,8,15.09,1.0,65.66
37,79285.4,3321.95,687.96,79116.5,64588.53,18,25.14,13.96,46.78
49,96360.88,1723.92,763.96,50714.94,386726.83,30,15.11,11.65,38.84
24,77401.69,1434.67,683.31,77240.65,212683.44,5,10.78,14.58,37.56
69,65950.32,2081.21,738.91,18658.03,87289.17,45,13.44,23.01,30.24
58,89411.07,2141.87,756.75,44348.46,121587.94,40,10.06,10.51,50.46
50,91585.96,2431.7,798.23,111859.4,379713.45,23,27.52,28.32,60.58
57,91837.89,3617.02,832.23,49694.98,280449.14,36,17.77,20.83,63.69
56,51141.42,2179.7,662.97,36140.18,33019.1,29,13.75,7.92,47.75
35,35627.67,1384.2,659.85,24897.34,1000.0,13,17.28,17.07,47.57
57,50042.54,1017.41,634.35,55356.24,206293.38,38,11.38,9.95,68.7
18,72665.55,3281.99,735.39,71458.06,228029.9,0,16.19,11.73,50.14
28,62864.86,1546.85,697.84,17835.96,54158.82,1,12.53,22.28,34.85
45,56283.34,1020.73,637.28,55385.03,143871.4,24,6.85,11.71,38.0
42,70088.67,2043.08,696.35,27602.18,146351.93,17,17.26,12.91,39.59
67,33525.51,1229.59,664.26,38906.1,119823.35,45,18.48,14.96,58.85
40,62541.05,1000.0,672.1,37836.78,80931.66,11,16.65,17.3,41.11
48,80132.24,2695.88,665.58,62837.15,141991.37,26,22.61,22.69,69.37
47,69887.68,2872.57,694.08,61814.73,41135.23,19,11.51,3.27,48.02
59,72452.58,1537.88,683.48,63116.25,107957.52,30,13.48,21.09,49.87
52,88752.71,3159.96,786.77,89197.02,113499.27,25,12.4,14.7,58.42
24,58809.42,1519.06,704.09,81622.51,3670.25,6,17.71,12.78,66.31
33,48244.35,1269.04,660.85,26154.13,29262.04,6,13.24,26.35,47.01
43,81411.27,1779.69,725.81,77670.18,265715.28,16,16.37,18.64,63.42
65,81080.17,2701.03,745.9,70137.53,297171.07,44,21.45,27.76,51.35
69,70049.25,1718.54,695.96,88391.65,37841.74,44,14.64,21.47,51.0
66,57113.32,2295.77,606.23,65134.92,190059.36,45,21.11,29.87,28.95
19,60024.83,2676.92,675.03,10908.15,218459.26,0,17.18,22.32,62.15
18,37018.09,1616.56,729.7,3811.01,1000.0,0,11.87,18.03,40.24
65,80033.04,1435.6,693.78,77218.88,80871.92,45,10.25,16.0,60.67
29,79397.72,1030.03,654.73,8247.17,208823.48,1,21.26,27.08,79.48
22,36389.71,1000.0,673.25,29119.07,27778.73,0,15.05,12.72,36.83
54,75617.38,2782.43,747.04,75821.04,214859.71,35,19.22,20.53,67.33
49,67273.83,3032.83,715.23,500.0,154070.38,31,18.54,15.23,56.41
26,41604.47,1606.52,608.68,64042.56,1659.33,0,11.52,17.72,44.33
58,38292.0,1219.66,625.06,66489.76,94849.84,35,13.07,12.66,26.72
52,66722.88,1000.0,702.5,37415.31,102244.58,29,14.38,13.95,10.26
36,52841.33,2114.61,717.51,66449.71,86342.48,9,21.53,10.54,67.13
65,92759.08,1707.22,819.54,32640.71,270612.7,45,17.9,27.5,62.25
33,77146.77,1107.33,758.54,55584.4,218120.14,15,14.62,9.03,44.04
20,68526.48,2798.98,674.86,44151.35,138222.78,0,23.45,23.55,46.75
37,69415.42,2177.91,718.55,67277.82,98723.43,17,22.99,24.16,53.94
41,83955.61,1409.2,724.17,19671.0,262671.72,14,19.58,25.75,50.71
50,75237.33,1909.88,780.99,65673.11,264483.0,28,16.87,14.35,60.93
41,68995.8,1059.18,674.81,60583.97,331195.46,18,15.0,8.71,49.81
69,42355.3,1430.21,621.01,18926.13,89263.72,45,14.02,19.62,57.05
28,115115.05,2522.66,796.44,124552.94,135027.58,2,17.14,22.81,44.48
66,40142.71,1660.7,598.01,63468.33,137468.01,38,16.43,18.34,49.16
25,54374.23,1328.17,640.2,44042.99,82110.87,3,23.7,21.83,63.94
53,30214.89,1000.0,583.77,18536.08,57167.61,34,15.83,15.91,44.49
55,69698.37,1018.81,668.61,45688.16,167952.77,28,11.45,7.49,45.32
57,62719.99,1360.17,742.86,45854.93,77977.83,34,18.55,6.77,72.42
37,73774.98,2586.47,712.91,38728.63,139075.94,8,18.35,26.13,68.29
52,28696.82,1062.99,562.08,19713.74,89644.76,27,15.1,15.63,34.05
65,80032.3,1648.19,774.73,67160.1,298206.84,37,13.91,18.84,49.4
42,45466.16,1331.89,733.71,50438.55,128461.78,19,14.56,13.43,26.02
52,57317.91,2278.45,653.76,34934.6,110265.88,31,20.15,17.34,55.79
42,76768.28,1931.77,719.27,35941.21,183374.94,19,12.33,11.3,38.42
46,64702.8,1097.3,660.89,58359.61,189183.73,21,14.22,13.98,46.36
35,65974.97,1774.44,727.72,19342.72,242406.04,10,15.16,21.25,57.8
63,74385.22,2419.08,766.15,32995.09,118526.4,36,22.43,21.37,52.82
35,67718.23,1000.0,701.07,39386.64,163104.65,16,22.51,29.16,43.97
19,53860.06,1299.05,641.85,67532.32,101335.48,0,5.81,3.4,33.49
52,57003.56,1866.74,695.04,81173.98,174446.56,29,20.69,18.6,55.51
33,63813.82,2822.51,724.73,67344.8,138088.68,14,22.28,20.33,45.37
58,43879.99,1146.07,701.57,7749.67,14854.63,40,19.96,22.62,46.25
53,77928.16,1397.44,707.57,38766.58,194012.96,30,15.14,12.1,33.38
50,65195.77,1975.91,733.94,76956.51,158268.42,26,15.37,21.52,21.11
21,61345.97,1351.15,688.8,63971.11,111890.45,0,8.3,13.99,57.61
50,81464.94,1601.54,666.35,28103.28,75229.07,28,7.67,18.37,40.02
31,57837.95,1861.23,742.01,63381.42,29547.12,4,13.98,12.25,41.69
38,56716.42,2440.48,683.54,30350.75,144031.0,13,16.05,7.92,67.33
65,51276.68,2068.54,681.14,61379.78,142561.98,37,16.01,21.03,56.38
37,66175.21,1229.3,741.11,36340.16,225296.45,8,20.72,24.97,57.49
25,65552.1,2492.9,723.48,75477.3,137385.95,0,31.86,15.72,60.16
24,48006.88,1000.0,600.51,56457.42,78526.01,3,12.82,16.8,35.54
20,56801.51,1260.43,700.77,11174.7,97172.94,0,10.4,13.84,57.78
34,48127.16,2077.57,666.73,51942.84,48571.19,9,17.54,14.56,67.02
50,47312.37,2028.2,566.79,28178.18,166836.88,27,15.84,23.87,48.44
