Age,Income,Credit_Score,Experience_Years,Employment_Years,Existing_Loans,Loan_Amount,Debt_to_Income_Ratio,Loan_Approved
38,82303,672,7,2,1,1585764,1.606,1
24,74352,615,1,1,1,1988275,2.228,0
45,229072,537,15,14,3,857943,0.312,0
34,189472,625,2,2,0,2606017,1.146,1
29,120817,718,0,0,4,2894527,1.996,0
46,22636,783,22,9,2,1782831,6.563,1
22,93458,677,0,0,2,1778848,1.586,0
40,228288,745,19,13,3,1170873,0.427,1
48,197607,783,26,3,0,1940727,0.818,1
27,153774,684,1,1,2,695789,0.377,0
64,35895,787,31,11,3,403960,0.938,1
28,50382,753,0,0,0,1452873,2.403,1
55,73878,716,21,18,1,893719,1.008,1
34,111938,840,7,0,1,788253,0.587,1
37,100780,763,5,5,2,1838577,1.52,1
56,199820,729,31,15,1,2082325,0.868,1
60,30276,694,27,2,3,1914554,5.27,0
24,25410,614,0,0,2,788012,2.584,0
22,60410,673,0,0,4,955238,1.318,0
26,111044,683,0,0,1,2810685,2.109,1
62,102056,621,36,17,0,2627967,2.146,1
24,125730,654,0,0,0,542654,0.36,1
49,41084,718,15,9,2,2060792,4.18,0
38,171378,734,15,10,0,236474,0.115,0
46,32624,649,14,3,1,1935566,4.944,0
64,60564,610,31,15,5,2304869,3.171,0
54,105010,711,26,0,1,2002288,1.589,0
30,204562,746,0,0,2,441774,0.18,0
56,133934,573,25,7,0,464473,0.289,0
34,200923,691,9,0,2,1529720,0.634,1
51,22931,653,21,3,2,2590410,9.414,0
35,217793,762,14,14,0,2190811,0.838,1
28,159553,850,1,1,1,1040553,0.543,1
34,202343,544,0,0,4,874820,0.36,0
43,169858,796,18,18,3,1204157,0.591,1
60,208179,607,38,7,1,1893870,0.758,0
41,56081,768,11,4,1,942830,1.401,1
36,245268,696,7,2,1,1109756,0.377,0
65,23643,689,36,3,3,1181163,4.163,0
38,49640,668,9,5,1,272523,0.457,1
44,210104,601,12,12,1,2052173,0.814,1
46,161767,677,22,3,2,1483739,0.764,1
45,37064,654,17,0,5,2493124,5.605,0
65,33576,806,32,0,1,932456,2.314,0
61,132303,645,29,4,2,2366720,1.491,0
49,167163,741,21,19,1,1392158,0.694,0
35,235388,657,2,2,0,1679395,0.595,0
65,59144,764,43,4,1,2137387,3.012,0
21,220796,518,0,0,1,758539,0.286,0
45,219337,629,11,8,2,2410308,0.916,1
27,150369,644,0,0,2,2242469,1.243,0
29,33922,611,3,3,0,1727334,4.243,0
44,228323,817,17,17,0,2062438,0.753,1
21,230064,789,0,0,0,2362906,0.856,1
64,173484,798,38,4,1,2914054,1.4,1
28,149868,536,3,3,1,1860767,1.035,1
44,76443,672,19,19,0,903142,0.985,0
31,162574,641,10,10,1,1970051,1.01,0
37,191217,643,10,2,0,2799542,1.22,1
28,29843,541,1,1,1,621503,1.735,0
55,198996,705,25,9,0,875841,0.367,1
55,222147,784,23,6,3,1523045,0.571,0
53,111685,701,32,14,1,2706864,2.02,1
25,56777,427,0,0,2,894781,1.313,0
62,145305,682,30,17,0,791427,0.454,1
59,21989,670,32,14,2,1118274,4.238,0
61,151752,718,31,20,1,453671,0.249,1
48,147176,717,14,12,1,2864820,1.622,1
27,223184,576,0,0,4,599845,0.224,0
29,221465,659,0,0,0,859727,0.323,0
28,237815,770,0,0,2,671268,0.235,1
32,246638,628,0,0,1,819337,0.277,1
54,120516,675,33,18,1,600781,0.415,1
53,114976,769,28,16,1,2171508,1.574,1
43,127771,742,12,12,1,1108692,0.723,1
44,224596,768,14,14,0,1940322,0.72,1
57,106805,687,23,13,3,1517816,1.184,0
55,47615,729,32,12,2,2578400,4.513,0
64,230710,753,37,6,2,1861898,0.673,1
60,114370,716,36,1,0,2128863,1.551,1
42,247448,634,10,3,3,1289393,0.434,1
47,37762,651,24,13,0,1388461,3.064,0
55,84384,770,32,18,1,2317322,2.288,1
21,68844,773,0,0,0,711831,0.862,1
55,214274,641,33,3,2,701006,0.273,1
57,155014,743,37,4,2,2514023,1.352,1
34,93689,704,9,3,0,654853,0.582,1
23,177312,588,0,0,1,1039031,0.488,1
21,132029,739,0,0,1,964747,0.609,1
25,162205,574,0,0,1,771888,0.397,1
46,173539,574,15,15,2,2150484,1.033,0
34,56134,627,5,5,3,508012,0.754,1
59,210622,638,28,4,3,2683396,1.062,1
47,205226,623,23,6,3,191524,0.078,1
29,236109,683,0,0,0,1962492,0.693,1
35,86027,506,4,4,3,903948,0.876,0
35,86722,589,10,4,1,267715,0.257,0
46,162422,645,12,8,0,755483,0.388,1
62,92991,663,35,5,3,806472,0.723,0
33,171532,761,0,0,2,374523,0.182,0
52,66575,805,26,20,2,1707746,2.138,1
59,48614,697,29,2,1,1287779,2.207,0
52,185176,806,21,19,2,2479355,1.116,1
24,226761,557,0,0,1,1282349,0.471,0
50,198916,685,27,5,6,893851,0.374,0
57,31490,742,33,0,1,467850,1.238,0
43,77730,505,22,13,2,105043,0.113,0
59,165359,695,34,19,0,1609322,0.811,1
65,88195,648,38,6,0,1759446,1.662,1
35,225499,718,7,2,2,1232002,0.455,1
63,225681,718,41,14,0,1823830,0.673,1
49,66483,643,26,11,2,557722,0.699,1
56,105316,609,22,5,2,1403077,1.11,0
33,58615,697,4,2,2,2692746,3.828,0
52,112730,629,21,17,1,2740240,2.026,0
27,237708,817,0,0,2,2806707,0.984,1
42,247835,631,14,13,4,716316,0.241,0
48,176980,657,17,10,0,998879,0.47,1
22,233409,667,0,0,1,362730,0.13,1
62,248846,717,31,8,1,1844734,0.618,1
65,65630,723,38,18,2,2961019,3.76,1
26,180207,757,0,0,1,502830,0.233,1
48,87456,672,20,19,1,2717897,2.59,1
48,229240,635,17,8,3,1542289,0.561,1
64,50675,586,35,6,2,1904678,3.132,0
64,227997,659,40,1,1,1887079,0.69,1
40,58808,667,11,11,2,1329028,1.883,1
50,39384,758,20,3,1,1922965,4.069,0
31,92237,811,6,6,1,1435937,1.297,1
48,220064,763,18,18,3,2168159,0.821,1
45,119547,667,20,6,1,2379260,1.659,0
59,213206,454,28,8,2,762911,0.298,0
53,75082,651,29,12,6,1399756,1.554,0
21,199599,668,0,0,1,88945,0.037,1
47,90747,685,15,0,0,88872,0.082,1
33,153083,739,10,10,2,1887297,1.027,1
61,219615,641,27,5,2,1217207,0.462,1
23,164625,695,0,0,0,75300,0.038,1
59,61465,663,39,5,0,889695,1.206,1
26,78931,768,0,0,1,499418,0.527,0
28,29327,719,5,5,1,2828535,8.037,0
47,25428,697,26,16,3,1450608,4.754,0
29,26294,646,2,2,3,1701047,5.391,0
57,110313,673,33,18,2,832317,0.629,1
53,28909,813,24,5,0,2599878,7.494,0
62,22993,683,34,8,2,1325752,4.805,1
64,41922,596,34,12,2,2866460,5.698,0
44,105953,788,20,10,1,2428679,1.91,1
35,130902,784,15,3,1,864326,0.55,1
52,234941,619,25,17,2,2301940,0.816,1
52,54462,721,23,13,0,2439309,3.732,0
44,48294,707,10,10,1,2805249,4.841,0
61,125512,540,33,12,1,2327239,1.545,0
32,133347,702,9,9,2,1803582,1.127,1
59,170334,654,33,6,1,2160422,1.057,1
22,104963,731,0,0,2,1375324,1.092,0
23,238021,759,0,0,5,2495304,0.874,0
57,153835,745,30,5,2,1798188,0.974,1
37,94098,546,13,3,1,1301218,1.152,0
22,150226,777,0,0,1,73629,0.041,1
22,54918,579,0,0,1,2122296,3.22,0
48,71951,640,18,15,0,767593,0.889,1
43,57480,652,17,7,1,1488358,2.158,1
57,81969,805,25,4,1,656394,0.667,1
52,70259,678,27,15,2,1515471,1.797,0
53,188375,757,28,12,1,293576,0.13,1
21,205144,656,0,0,3,2559987,1.04,0
39,101325,689,9,8,0,2812887,2.313,0
22,78503,699,1,1,1,2031292,2.156,0
64,209959,698,38,17,1,1237703,0.491,1
46,39922,781,18,6,1,2093996,4.371,1
52,40666,643,21,18,2,465382,0.954,1
26,116679,686,6,2,0,1553334,1.109,1
52,128592,838,29,0,1,492723,0.319,1
24,62808,850,0,0,0,2062510,2.737,1
31,217287,569,0,0,1,2856815,1.096,0
37,214555,704,9,8,1,1972973,0.766,1
58,57756,720,27,18,3,234452,0.338,1
44,165996,670,10,7,2,1184572,0.595,1
25,80253,669,0,0,2,1357726,1.41,0
54,39791,767,31,16,2,2388347,5.002,0
26,249641,785,0,0,3,65685,0.022,1
42,40999,650,19,15,0,2425052,4.929,0
31,111390,798,1,1,1,1196530,0.895,1
36,65465,561,3,3,3,2200417,2.801,0
53,96710,661,19,9,0,2940189,2.534,1
29,247106,703,0,0,3,1507308,0.508,1
26,107861,641,0,0,1,982761,0.759,0
36,202988,816,8,8,0,1237605,0.508,1
49,35295,686,26,1,0,2912521,6.877,0
23,214297,579,2,2,1,502317,0.195,0
40,101198,684,11,9,1,1503811,1.238,0
56,171207,754,22,2,1,2858210,1.391,1
39,90172,688,12,12,2,2512171,2.322,0
46,138679,730,16,6,0,2945253,1.77,1
23,147790,711,0,0,0,2621954,1.478,1
39,136403,651,8,8,1,507116,0.31,1
40,205228,785,12,12,1,2019798,0.82,1
52,96975,558,32,10,2,942803,0.81,0
27,240855,580,0,0,2,1196216,0.414,1
61,71607,538,30,10,1,1558661,1.814,0
53,243738,712,25,17,1,821899,0.281,1
60,139664,596,32,18,1,2567271,1.532,1
59,132538,598,36,17,0,2555431,1.607,0
38,62630,579,14,0,3,788952,1.05,0
60,169965,638,26,7,2,1331834,0.653,0
21,106782,598,0,0,1,2359376,1.841,0
31,72492,799,1,1,2,2115745,2.432,1
48,118247,651,24,10,0,1494145,1.053,0
45,234520,664,18,18,1,1930356,0.686,1
43,203482,707,17,17,2,2609593,1.069,1
51,215710,651,18,2,1,277831,0.107,1
50,232204,639,21,19,0,2507750,0.9,1
62,180411,655,32,20,1,2535805,1.171,1
55,214717,730,26,13,1,366295,0.142,1
27,138101,720,0,0,4,260616,0.157,1
36,164607,682,6,6,2,2400279,1.215,1
46,132028,511,15,10,1,1568047,0.99,0
22,242228,650,0,0,1,1236185,0.425,1
21,158311,637,0,0,1,1026152,0.54,0
32,38693,809,12,5,1,2837977,6.112,0
25,120984,669,0,0,1,289968,0.2,1
57,188335,791,31,5,2,1635909,0.724,1
52,202459,661,28,2,2,1876602,0.772,0
29,61664,772,5,5,2,1577378,2.132,0
61,18728,656,40,3,1,1820229,8.099,0
55,247133,597,21,19,2,1646700,0.555,0
39,172776,644,5,5,0,2018623,0.974,1
36,77866,568,12,5,0,1848578,1.978,0
23,23900,710,1,1,1,2667010,9.299,0
40,48500,624,12,2,2,100407,0.173,0
44,84825,768,15,12,0,2700261,2.653,1
53,135109,718,33,18,0,1275920,0.787,1
44,213656,632,10,8,2,189605,0.074,1
31,218140,578,1,1,4,1072194,0.41,0
28,29142,604,2,2,2,1946324,5.566,0
56,106973,809,32,1,2,1292789,1.007,1
58,43723,563,36,0,5,1412504,2.692,0
60,60595,591,28,1,1,2098469,2.886,0
40,208837,485,17,9,1,2993152,1.194,1
55,106324,673,26,19,2,2534096,1.986,1
45,245340,702,19,17,1,1882027,0.639,1
55,241222,682,31,0,1,305997,0.106,1
45,90731,796,21,18,1,2452909,2.253,1
49,165058,674,19,10,2,325829,0.165,1
38,68611,729,7,1,0,232567,0.282,1
38,189214,824,7,7,3,1282359,0.565,1
22,35830,738,0,0,1,2369627,5.511,0
55,179556,780,34,17,1,659311,0.306,1
36,137312,685,13,13,1,2057458,1.249,1
61,89365,671,38,0,1,1980983,1.847,0
56,214589,740,34,8,6,2495971,0.969,1
53,18536,662,29,14,0,227543,1.023,0
24,118425,662,0,0,2,1389362,0.978,1
53,109597,618,33,14,1,1823660,1.387,0
34,181858,708,13,13,1,2803694,1.285,1
41,161219,552,9,9,4,165924,0.086,0
40,123503,555,16,8,0,2644754,1.785,0
28,79705,740,0,0,2,434795,0.455,1
27,194366,704,0,0,0,2125265,0.911,1
23,79153,561,0,0,1,2242158,2.361,0
37,61634,634,13,2,3,1933144,2.614,0
53,249924,645,26,19,1,2900219,0.967,1
32,122540,617,2,1,5,335014,0.228,1
42,34988,765,20,20,2,1061984,2.529,1
42,53029,744,11,11,2,854349,1.343,1
50,212417,672,28,17,2,2096154,0.822,1
58,128925,827,35,3,0,2798231,1.809,1
58,73226,590,31,4,1,1905969,2.169,0
65,71505,662,40,11,1,1500360,1.749,0
28,135003,679,8,8,2,2297742,1.418,1
47,204453,642,24,8,2,217420,0.089,0
47,54416,491,17,17,3,123390,0.189,0
54,95553,613,22,6,0,1261341,1.1,0
41,104603,800,19,4,3,890670,0.71,1
50,97870,707,16,16,1,2295674,1.955,1
53,106643,743,32,1,1,2563878,2.003,1
48,97028,802,18,5,3,1384448,1.189,1
53,98111,587,29,18,0,2312663,1.964,0
25,24546,811,2,0,1,453351,1.539,1
39,28873,648,16,1,0,1923049,5.55,0
24,142288,730,0,0,4,2360749,1.383,0
55,133251,755,23,4,0,1731805,1.083,1
37,203872,652,9,3,0,2256506,0.922,1
64,166449,672,38,20,0,2056445,1.03,1
48,36666,672,24,11,0,1368448,3.11,1
50,18953,596,28,19,3,2069970,9.101,0
49,243597,617,26,2,2,2333239,0.798,0
26,231829,693,6,6,3,2286386,0.822,0
55,172931,545,23,14,0,591314,0.285,1
61,198831,657,31,20,1,1686547,0.707,1
57,199604,665,29,2,1,2810232,1.173,1
44,156047,637,14,14,1,241638,0.129,0
49,168364,775,26,3,1,2945479,1.458,1
51,246922,726,28,19,2,1842721,0.622,1
55,45754,685,30,20,1,946379,1.724,0
53,58413,801,22,17,1,1978633,2.823,1
41,63077,695,16,3,3,986894,1.304,0
52,176684,617,28,10,1,1447837,0.683,1
43,39377,672,23,12,1,2174224,4.601,0
53,202777,635,33,5,3,2133643,0.877,1
23,74365,618,0,0,2,226247,0.254,0
38,123939,706,16,3,2,433652,0.292,0
45,63046,794,12,3,4,1204986,1.593,1
62,128525,760,39,16,1,522947,0.339,1
51,162435,663,18,17,2,2163506,1.11,1
23,72956,703,0,0,2,439957,0.503,1
60,32434,642,31,16,4,1181162,3.035,0
44,65284,759,22,5,1,1225096,1.564,1
52,199283,711,23,2,0,2453912,1.026,1
42,199682,673,22,4,3,1370776,0.572,0
43,173153,762,18,9,3,1639170,0.789,1
22,145499,682,1,1,0,1420467,0.814,1
47,152456,628,24,7,1,740596,0.405,0
62,228545,808,42,16,2,1474471,0.538,1
22,108541,679,0,0,1,2956455,2.27,0
46,248616,635,19,9,1,574433,0.193,0
37,221747,714,16,16,1,130855,0.049,1
60,72249,508,26,5,2,1570431,1.811,0
53,115320,701,19,13,1,1139199,0.823,1
29,21960,809,0,0,1,2389278,9.067,0
63,113993,771,29,14,1,1403235,1.026,1
59,41156,758,39,15,2,2561596,5.187,0
49,54342,728,25,5,1,1957393,3.002,0
62,228043,769,32,17,0,2239850,0.819,1
46,149786,653,15,15,0,1796123,0.999,1
55,139977,732,25,0,0,695823,0.414,1
45,104163,711,12,12,3,1464558,1.172,1
44,51376,760,13,13,1,1483927,2.407,1
33,97497,590,5,5,2,2846206,2.433,0
27,227981,712,0,0,3,1076314,0.393,0
56,80527,704,22,4,0,2673553,2.767,0
65,193320,763,43,3,3,883515,0.381,1
40,182887,544,18,10,5,2544044,1.159,0
21,225656,672,0,0,2,2674028,0.988,0
28,83466,646,5,5,1,1415387,1.413,0
36,93470,664,3,3,3,2734554,2.438,0
34,91703,787,1,1,0,2651817,2.41,0
32,37287,850,0,0,2,2557132,5.715,1
43,202142,798,20,20,0,2779795,1.146,1
35,107840,683,6,6,0,2772064,2.142,0
48,140505,604,21,14,1,1209720,0.717,0
54,82469,724,20,9,2,496832,0.502,1
22,222452,820,0,0,1,430302,0.161,1
52,86894,681,19,4,3,1361036,1.305,0
43,67814,819,23,20,0,1142927,1.404,1
42,167246,517,17,17,1,985637,0.491,0
45,79962,735,23,18,1,1465337,1.527,1
42,221849,734,10,10,1,1045603,0.393,1
42,28101,782,16,16,0,78578,0.233,1
62,133682,683,31,1,2,2016430,1.257,0
26,66789,634,1,1,3,1672924,2.087,0
35,74552,771,9,9,2,1212433,1.355,1
63,229317,439,36,20,3,1417033,0.515,0
57,157221,593,31,5,1,2465043,1.307,0
53,229236,675,33,11,2,259472,0.094,1
28,26730,683,2,2,4,2047853,6.384,0
64,109136,799,43,4,1,226495,0.173,1
64,108558,783,35,17,0,155667,0.119,1
25,208084,673,0,0,1,2755609,1.104,1
59,120735,548,36,8,2,915048,0.632,0
24,24567,678,0,0,2,2034519,6.901,0
26,119853,657,4,4,0,969712,0.674,0
65,244843,615,34,13,2,669997,0.228,0
52,229228,627,27,9,0,340864,0.124,1
50,130783,727,28,6,1,247312,0.158,1
55,69072,653,35,2,1,1527553,1.843,0
60,35726,694,34,13,5,2358694,5.502,0
36,148503,593,13,13,1,2606876,1.463,0
33,135763,691,11,1,1,506275,0.311,1
62,100482,740,32,1,0,1376006,1.141,0
50,78515,759,23,0,0,919631,0.976,1
39,29645,770,15,4,2,2904007,8.163,0
37,108193,613,13,4,3,1378670,1.062,1
39,249122,766,5,5,1,1380993,0.462,1
48,67507,574,23,1,2,2601557,3.211,0
46,134552,472,20,3,1,171205,0.106,0
57,249705,675,28,17,0,1550189,0.517,1
46,45265,766,16,2,1,458741,0.845,1
43,97298,592,15,7,1,1337040,1.145,0
29,201515,627,2,2,1,2923111,1.209,1
32,128636,623,0,0,0,1953083,1.265,0
21,188299,810,0,0,1,1880613,0.832,1
21,237027,756,0,0,1,716973,0.252,1
54,89186,697,34,14,2,2173955,2.031,0
52,22200,598,22,6,3,841559,3.159,0
45,214388,632,18,5,1,88491,0.034,1
60,99550,804,37,0,0,1121314,0.939,1
65,74442,681,43,11,0,264424,0.296,1
21,53304,678,0,0,1,2767749,4.327,1
36,238357,696,8,8,1,346542,0.121,1
59,100793,660,30,11,1,1865683,1.543,1
25,26439,766,0,0,5,2541484,8.011,0
42,172432,680,22,7,0,1515812,0.733,1
49,37724,607,21,2,2,2471033,5.459,0
23,198791,645,0,0,1,2654728,1.113,0
32,146880,644,8,0,1,1276907,0.724,0
46,32445,668,12,12,1,103830,0.267,1
36,145160,689,4,4,2,1186427,0.681,0
57,113234,610,32,2,2,128069,0.094,0
42,171388,576,15,2,1,2235653,1.087,1
49,75080,696,22,17,1,2668717,2.962,1
34,150423,739,3,0,3,2898122,1.606,0
48,197414,673,22,20,2,1591600,0.672,0
25,126187,666,4,4,0,1545103,1.02,0
50,41840,686,18,2,1,1501520,2.991,0
25,147398,668,0,0,0,522356,0.295,1
32,87473,636,5,5,1,442486,0.422,1
36,161457,631,8,7,1,1648354,0.851,0
46,109416,707,25,0,1,626898,0.477,1
46,206221,625,20,20,1,1197656,0.484,1
41,42424,550,19,16,2,2574928,5.058,0
59,200139,690,34,3,2,840517,0.35,1
56,153914,709,23,6,0,334760,0.181,1
53,139414,782,24,4,0,214894,0.128,0
50,123588,660,21,9,1,2306754,1.555,1
57,236021,631,35,17,3,490068,0.173,0
43,161515,671,15,14,2,2737697,1.413,1
30,186272,665,5,5,1,2763421,1.236,0
25,40885,690,0,0,3,135366,0.276,0
56,24010,534,28,6,3,2078525,7.214,0
54,52927,625,26,5,2,1589492,2.503,0
51,171629,658,24,3,0,1593757,0.774,0
30,79056,758,7,7,3,1923977,2.028,0
39,38443,772,6,6,0,2614935,5.668,1
52,212659,703,27,7,3,2448776,0.96,0
21,77793,643,1,1,1,2285954,2.449,0
25,197808,710,0,0,1,1279511,0.539,1
65,40639,766,41,13,1,941659,1.931,1
24,159036,596,0,0,1,716112,0.375,0
36,210570,644,7,7,3,1878751,0.744,1
44,96822,616,22,18,0,2716841,2.338,0
36,100193,810,8,8,3,1757196,1.462,1
22,27478,641,0,0,2,2746498,8.329,0
48,216844,512,14,3,2,1101450,0.423,0
52,120781,713,30,12,0,1484855,1.024,1
47,101651,757,22,1,1,2001493,1.641,1
40,147656,538,10,9,1,1120636,0.632,0
44,152800,723,19,12,0,1551527,0.846,1
32,189602,563,4,4,1,1640390,0.721,1
55,112916,668,26,8,5,674234,0.498,0
53,70582,751,29,15,0,1514903,1.789,1
53,178950,743,26,12,3,1388572,0.647,1
63,170805,775,42,16,3,2961478,1.445,1
57,115252,640,35,2,1,419573,0.303,0
32,249436,689,4,4,1,1843658,0.616,0
23,222747,691,0,0,2,122821,0.046,0
21,125620,613,0,0,3,986672,0.655,0
53,162088,663,26,9,1,2098763,1.079,0
60,161838,678,34,19,2,1022832,0.527,1
30,220535,754,9,5,0,798120,0.302,1
63,104158,699,36,2,3,2181189,1.745,0
64,196616,752,42,9,3,860686,0.365,1
49,115471,740,26,15,3,1725700,1.245,1
33,171334,546,13,13,1,481296,0.234,0
32,215834,689,5,5,3,1906920,0.736,1
51,239404,713,24,7,0,1467515,0.511,1
22,42698,702,0,0,1,2368735,4.623,0
55,23252,699,32,20,6,1313031,4.706,0
43,225677,598,13,8,1,2572666,0.95,0
37,184057,654,7,7,1,164874,0.075,0
46,146833,725,16,2,1,699284,0.397,1
28,127587,689,0,0,2,1083725,0.708,0
49,40101,796,26,1,1,1131255,2.351,1
46,85495,787,17,0,2,802059,0.782,1
30,113130,763,1,1,0,814351,0.6,1
46,162276,713,14,4,1,897985,0.461,1
54,24776,595,21,11,0,75823,0.255,0
61,27491,596,32,2,0,2269441,6.879,0
27,150895,616,1,1,3,2683235,1.482,0
24,77061,626,0,0,2,968992,1.048,0
65,98931,766,34,14,0,54754,0.046,1
31,40517,674,0,0,2,2647284,5.445,0
49,192009,764,25,7,3,2155179,0.935,1
56,181951,704,31,7,4,1324401,0.607,0
45,22973,606,13,6,1,2685383,9.741,0
41,48274,754,8,8,2,1078323,1.861,1
56,137802,699,29,8,3,2034616,1.23,0
30,105239,825,0,0,1,2949774,2.336,1
57,83053,704,31,8,1,762310,0.765,1
29,229651,589,0,0,1,1148209,0.417,1
44,94934,677,21,20,1,2479922,2.177,0
55,113895,607,33,9,2,1613319,1.18,0
55,227185,573,21,9,2,727448,0.267,0
56,83506,575,34,4,2,1183311,1.181,0
38,70790,722,17,17,0,2418860,2.847,0
59,63926,681,37,1,0,1105662,1.441,0
52,248003,527,28,11,0,332854,0.112,1
44,242846,630,22,11,2,2935894,1.007,0
43,53184,781,9,3,1,2909021,4.558,1
52,179291,701,19,17,2,2073421,0.964,0
57,249927,551,34,10,0,1774208,0.592,0
32,126601,625,1,1,1,931664,0.613,0
33,242760,733,11,11,0,199230,0.068,1
43,93772,630,11,11,1,2914394,2.59,1
45,157706,678,12,5,0,1836816,0.971,1
55,168083,612,33,4,1,2781571,1.379,0
61,33120,789,27,1,1,1174539,2.955,1
50,107288,576,27,16,0,1213964,0.943,1
37,147758,525,4,4,2,1375904,0.776,0
40,81901,723,19,0,3,1877180,1.91,1
45,188740,674,20,19,0,1076815,0.475,1
42,155662,831,11,11,3,1342097,0.718,1
33,218637,726,8,8,1,957437,0.365,1
39,177461,699,8,8,2,2647855,1.243,1
56,164961,683,35,2,2,1692161,0.855,1
32,59364,645,4,3,1,1304269,1.831,0
61,135968,618,38,10,0,1256680,0.77,1
39,28914,633,16,15,1,1772612,5.109,0
32,201696,742,6,6,2,2026433,0.837,1
29,125472,637,0,0,0,2232428,1.483,0
27,106664,775,1,1,2,494424,0.386,1
48,23301,725,18,1,0,2320138,8.298,0
34,86556,549,14,14,1,672240,0.647,1
51,200423,680,31,4,3,2110337,0.877,0
39,74334,569,8,8,0,1463900,1.641,0
36,30628,668,11,3,0,259139,0.705,1
25,84123,712,0,0,1,1314972,1.303,1
55,178269,610,30,0,0,988325,0.462,0
32,189694,739,3,3,1,2260851,0.993,1
45,76733,516,14,14,1,2498603,2.714,0
41,225963,605,20,1,1,2602467,0.96,0
56,159403,761,30,20,4,926085,0.484,1
43,54126,702,23,8,3,911085,1.403,1
36,106163,625,12,12,2,2850230,2.237,0
59,42527,654,25,5,1,2557589,5.012,0
65,162441,737,41,0,1,692411,0.355,1
62,138487,633,38,6,1,341009,0.205,1
59,19469,658,29,13,2,834852,3.573,0
34,201477,702,14,14,1,1721997,0.712,1
51,207948,758,26,8,1,2646750,1.061,1
25,213259,672,0,0,1,1748507,0.683,1
55,194988,636,27,15,0,673431,0.288,1
43,115674,693,21,20,3,1135558,0.818,1
49,189005,725,23,16,0,201487,0.089,1
63,78569,798,36,11,1,2986333,3.167,1
31,79210,756,0,0,2,93136,0.098,0
38,58221,592,4,4,1,1930071,2.763,0
32,121170,644,0,0,1,1738383,1.196,0
29,243353,631,0,0,2,150421,0.052,1
30,94127,680,3,3,2,2925003,2.59,0
64,134804,722,30,9,1,1946878,1.204,1
37,164056,706,16,16,2,1598665,0.812,1
58,178162,576,25,2,0,2045417,0.957,0
27,188308,833,2,2,1,1574801,0.697,1
33,21919,574,1,1,0,2478905,9.424,0
60,207900,675,30,19,2,1404178,0.563,1
62,45357,773,33,2,0,1953185,3.589,1
29,103130,643,0,0,1,2448785,1.979,0
47,197320,579,17,4,5,2570152,1.085,0
22,103917,681,0,0,1,2940073,2.358,0
25,64960,708,0,0,2,2706626,3.472,0
49,166372,748,29,11,1,411397,0.206,1
57,52051,710,32,11,2,1962612,3.142,0
58,178736,686,27,18,4,1645335,0.767,0
39,60486,712,7,7,0,387437,0.534,1
28,46603,699,7,7,3,1372012,2.453,0
65,220398,624,36,5,1,1452962,0.549,1
21,203861,643,0,0,2,2862788,1.17,0
42,154928,556,16,3,2,2741106,1.474,1
37,86134,656,9,9,3,1268567,1.227,1
27,25274,644,0,0,1,444253,1.465,1
45,37061,589,15,15,0,987969,2.221,0
65,149113,633,31,2,0,2860720,1.599,1
24,162177,595,0,0,4,2936112,1.509,0
56,47210,622,34,8,3,2912837,5.142,0
26,244520,680,1,0,1,2106236,0.718,1
51,181433,662,28,10,3,571753,0.263,1
39,106146,689,7,7,2,1882343,1.478,0
64,38353,675,37,12,1,1813062,3.939,0
