Age,Income,Credit_Score,Years_Employed,Existing_Loans,Debt_to_Income,Loan_Amount,Employment_Type,Education,Loan_Approved
28,52382,580,10,5,46.65,279538,Salaried,Bachelor,0
55,75878,680,24,0,64.57,825259,Salaried,High School,0
34,113938,721,5,2,56.15,459869,Salaried,High School,1
37,102780,637,18,3,24.25,387575,Salaried,Master,1
56,201820,656,28,3,22.83,432682,Salaried,Bachelor,1
60,32276,635,13,3,59.04,862254,Self-Employed,Bachelor,0
24,27410,734,6,5,19.3,358028,Salaried,Bachelor,1
22,62410,661,4,1,30.03,304144,Business,Master,0
26,113044,636,8,6,25.24,954866,Contract,Master,0
62,104056,690,26,3,39.76,942533,Salaried,PhD,1
24,127730,659,6,1,44.32,574962,Self-Employed,Bachelor,0
49,43084,669,8,0,51.65,284704,Self-Employed,Master,1
38,173378,619,8,4,21.09,216422,Salaried,Master,1
46,34624,726,27,2,57.17,629286,Business,Bachelor,1
64,62564,649,2,3,58.1,548528,Business,Master,1
54,107010,657,0,2,29.36,746919,Self-Employed,Master,1
30,206562,694,12,0,27.43,942753,Self-Employed,Master,0
56,135934,827,9,6,20.31,306470,Self-Employed,Bachelor,1
34,202923,742,14,4,25.31,669565,Business,Master,1
51,24931,629,16,0,67.66,649007,Self-Employed,Master,0
35,219793,585,3,0,67.38,314571,Business,Master,0
28,161553,704,7,2,15.82,494704,Salaried,PhD,1
34,204343,636,5,5,49.32,278554,Business,PhD,1
43,171858,662,3,5,27.05,496879,Self-Employed,High School,1
60,210179,666,28,2,47.75,927316,Self-Employed,High School,0
41,58081,671,11,6,20.6,507416,Self-Employed,Bachelor,1
36,247268,663,18,3,6.31,514658,Salaried,Bachelor,1
65,25643,644,11,0,63.34,245509,Self-Employed,Master,0
38,51640,519,5,0,18.68,896013,Business,Bachelor,1
44,212104,693,5,4,65.38,632571,Salaried,High School,0
46,163767,726,2,1,36.59,111530,Salaried,Bachelor,1
45,39064,609,15,6,23.63,234653,Salaried,Bachelor,1
65,35576,734,17,1,32.95,308363,Salaried,Master,1
61,134303,703,14,5,47.4,883109,Business,Bachelor,0
49,169163,689,0,2,68.68,276254,Self-Employed,Bachelor,1
35,237388,693,4,1,38.06,712688,Self-Employed,High School,1
65,61144,735,18,0,60.42,309608,Self-Employed,Master,1
21,222796,720,3,2,26.84,311743,Contract,Master,1
45,221337,561,4,6,50.52,252501,Salaried,High School,0
27,152369,777,9,4,5.9,509697,Salaried,High School,1
29,35922,721,11,6,37.28,404503,Contract,Bachelor,1
44,230323,605,9,6,42.5,992030,Contract,Bachelor,0
21,232064,545,3,1,5.02,152550,Self-Employed,Master,1
64,175484,589,22,4,61.41,271296,Self-Employed,Master,0
28,151868,773,10,2,59.25,328866,Self-Employed,High School,1
44,78443,671,9,3,47.59,246909,Contract,Bachelor,1
31,164574,739,3,2,32.94,533430,Salaried,Master,1
37,193217,832,2,3,17.74,838128,Contract,Bachelor,1
28,31843,593,10,6,66.72,732083,Self-Employed,Bachelor,0
55,200996,590,22,3,23.98,459550,Salaried,PhD,1
55,224147,678,2,5,48.78,744337,Salaried,Bachelor,1
53,113685,702,26,0,12.3,473610,Business,High School,1
25,58777,737,3,5,11.47,441317,Salaried,High School,1
62,147305,610,19,2,58.23,647870,Business,Bachelor,0
59,23989,630,14,0,24.64,97309,Salaried,Bachelor,1
61,153752,783,9,3,55.1,199652,Salaried,Bachelor,1
48,149176,710,20,3,33.44,45551,Salaried,Master,1
27,225184,703,6,6,33.7,929518,Business,Bachelor,0
29,223465,646,9,6,62.18,267765,Salaried,High School,0
28,239815,778,4,5,64.48,580263,Contract,Bachelor,1
32,248638,759,9,6,18.49,187616,Salaried,Bachelor,1
54,122516,677,29,1,52.02,16004,Salaried,Master,1
53,116976,555,21,5,22.56,295532,Salaried,Bachelor,1
43,129771,750,23,3,58.88,665287,Salaried,Master,1
44,226596,720,18,2,40.44,114717,Salaried,Bachelor,1
57,108805,686,3,1,25.23,393236,Salaried,Master,1
55,49615,767,29,6,16.67,383519,Salaried,Master,1
64,232710,714,27,6,15.46,631853,Salaried,Bachelor,1
60,116370,657,16,1,40.2,895795,Salaried,Master,1
42,249448,755,5,0,32.2,600824,Contract,High School,1
47,39762,696,6,0,58.87,596109,Salaried,Bachelor,0
55,86384,749,14,5,9.16,721800,Salaried,Master,1
21,70844,690,3,4,16.65,769623,Salaried,Bachelor,0
55,216274,722,18,2,7.93,786085,Salaried,High School,1
57,157014,790,26,3,38.34,404125,Salaried,Bachelor,1
34,95689,784,16,4,41.21,633194,Contract,Bachelor,0
23,179312,639,5,6,26.59,275559,Contract,Bachelor,1
21,134029,749,3,6,23.54,339648,Self-Employed,PhD,1
25,164205,634,5,3,31.82,505154,Salaried,High School,0
46,175539,739,3,6,68.91,889028,Business,Bachelor,1
34,58134,670,16,0,6.75,555025,Contract,Master,1
59,212622,566,12,6,35.1,522237,Salaried,Bachelor,1
47,207226,701,4,4,25.57,916263,Contract,High School,1
29,238109,758,11,2,29.58,264917,Salaried,Bachelor,1
35,88027,725,17,4,60.45,816978,Salaried,Bachelor,1
35,88722,615,1,1,36.87,467135,Salaried,High School,1
46,164422,700,7,3,9.77,962783,Salaried,High School,1
62,94991,670,2,4,52.99,799091,Salaried,High School,0
33,173532,740,15,6,22.55,541335,Salaried,Master,1
52,68575,757,20,3,37.8,734683,Business,Bachelor,1
59,50614,582,24,5,40.64,910216,Business,Bachelor,0
52,187176,687,20,1,65.95,564889,Salaried,High School,1
24,228761,612,6,5,49.66,845757,Business,Master,1
50,200916,694,9,0,62.64,287892,Salaried,Bachelor,1
57,33490,575,13,1,57.05,501338,Contract,Bachelor,0
43,79730,675,22,5,47.72,168834,Salaried,High School,1
59,167359,701,23,0,30.97,421049,Salaried,High School,1
65,90195,508,27,5,21.02,664769,Salaried,Bachelor,0
35,227499,659,9,2,37.38,986452,Self-Employed,Bachelor,0
63,227681,567,18,4,67.41,419367,Business,Bachelor,1
49,68483,742,5,2,26.76,386679,Salaried,High School,1
56,107316,534,30,3,16.78,487425,Salaried,PhD,0
33,60615,653,15,6,64.4,326837,Salaried,High School,0
52,114730,778,21,3,63.39,847419,Salaried,Master,1
27,239708,601,9,1,6.43,861946,Self-Employed,Bachelor,1
42,249835,624,1,6,44.64,264995,Salaried,Master,1
48,178980,674,5,5,44.46,391349,Business,Bachelor,0
22,235409,683,4,3,30.23,575149,Self-Employed,High School,1
62,67630,505,24,1,6.56,999141,Self-Employed,Bachelor,0
65,182207,660,7,4,29.49,659892,Salaried,Bachelor,0
26,89456,732,8,2,31.2,8636,Salaried,High School,1
48,231240,841,13,0,59.73,567251,Self-Employed,Bachelor,0
48,52675,622,15,4,26.26,502988,Salaried,Master,1
64,229997,657,16,0,56.13,420490,Salaried,High School,1
64,60808,710,22,2,64.95,426513,Salaried,Bachelor,1
40,41384,618,2,2,28.1,116487,Business,Master,1
50,94237,791,4,0,29.23,290678,Salaried,High School,1
31,222064,677,13,2,43.48,921864,Salaried,Master,1
48,121547,696,19,0,47.95,987200,Salaried,Bachelor,0
45,215206,720,15,2,20.13,856556,Business,Bachelor,1
59,77082,551,28,0,17.3,332813,Salaried,Bachelor,1
53,201599,700,20,0,66.36,372157,Self-Employed,Bachelor,1
21,92747,632,3,3,56.59,147978,Salaried,Bachelor,1
47,155083,614,25,6,28.15,482251,Business,High School,0
33,221615,714,15,2,15.93,247567,Contract,Bachelor,1
61,166625,764,2,3,11.72,795349,Salaried,Master,1
23,63465,679,5,3,19.81,99397,Salaried,Bachelor,1
59,80931,795,25,1,20.97,687176,Salaried,Bachelor,1
26,31327,662,1,6,25.47,873634,Salaried,Bachelor,1
28,27428,550,10,3,50.81,92365,Self-Employed,Bachelor,0
47,28294,592,29,4,8.41,440328,Salaried,Bachelor,1
29,112313,794,11,5,35.28,733703,Salaried,Master,1
57,30909,813,7,2,66.7,698827,Business,High School,1
53,24993,707,11,1,54.84,832217,Salaried,Bachelor,0
62,43922,633,0,6,18.61,570776,Salaried,High School,1
64,107953,657,20,6,10.15,842931,Salaried,Bachelor,1
44,132902,676,23,4,20.23,959653,Salaried,Bachelor,1
35,236941,681,4,5,69.22,907448,Salaried,High School,1
52,56462,721,6,3,41.17,731634,Salaried,High School,1
52,50294,705,7,5,31.19,145585,Business,High School,0
44,127512,590,11,3,40.25,341789,Self-Employed,High School,0
61,135347,595,3,3,36.31,372301,Business,High School,1
32,172334,720,14,1,62.37,190574,Salaried,Bachelor,0
59,106963,650,8,5,37.78,444519,Self-Employed,High School,0
22,240021,673,4,1,19.05,203601,Salaried,Bachelor,1
23,155835,681,5,3,21.78,973855,Contract,Bachelor,1
57,96098,639,25,6,45.38,973670,Business,Bachelor,0
37,152226,689,14,4,36.42,551777,Contract,High School,1
22,56918,731,4,5,46.1,678088,Salaried,Bachelor,1
22,73951,670,4,1,6.82,580813,Salaried,Master,1
48,59480,782,14,3,62.91,622904,Business,Bachelor,1
43,83969,797,8,3,54.71,332882,Business,Bachelor,1
57,72259,616,14,6,55.65,68817,Business,Master,0
52,190375,710,30,1,65.1,644110,Salaried,Bachelor,1
53,207144,662,6,0,61.22,180915,Salaried,Bachelor,1
21,103325,622,3,0,43.03,294680,Contract,PhD,0
39,80503,677,13,0,28.45,853285,Self-Employed,Master,1
22,211959,519,4,0,44.17,920397,Self-Employed,Bachelor,0
64,41922,738,23,6,12.86,27975,Salaried,Bachelor,1
46,42666,745,28,4,33.13,460636,Self-Employed,Bachelor,1
52,118679,697,17,1,46.25,193043,Salaried,Bachelor,0
26,130592,752,8,2,22.32,132247,Self-Employed,Bachelor,1
52,64808,627,17,0,38.1,444302,Business,Bachelor,0
24,219287,471,6,5,23.72,710706,Business,Bachelor,0
31,216555,643,13,0,19.61,375266,Salaried,High School,1
37,59756,588,19,1,31.4,428207,Business,Bachelor,0
58,167996,680,2,5,38.65,574548,Salaried,Master,0
44,82253,788,26,1,62.48,726444,Salaried,Bachelor,1
25,41791,702,7,1,54.68,897493,Salaried,Bachelor,1
54,42999,660,21,5,14.59,149293,Business,Bachelor,1
26,113390,763,8,2,6.48,870435,Salaried,High School,1
42,67465,806,1,0,56.47,11599,Contract,Bachelor,1
31,98710,713,13,6,58.21,312695,Business,High School,1
36,249106,631,18,5,35.92,591575,Salaried,Bachelor,1
53,109861,689,24,5,19.76,145915,Salaried,Bachelor,1
29,204988,691,11,0,51.55,800083,Self-Employed,Bachelor,1
26,37295,665,8,6,25.51,332719,Salaried,Master,0
36,216297,776,18,6,12.38,54241,Salaried,Master,1
49,103198,743,28,3,12.13,950061,Business,High School,1
23,173207,593,4,0,25.86,489356,Contract,Bachelor,1
40,92172,585,0,3,16.63,14079,Business,Master,1
56,140679,639,23,0,60.84,115882,Salaried,Master,1
39,149790,605,13,2,59.97,351544,Self-Employed,Bachelor,0
46,138403,644,3,5,66.33,254441,Self-Employed,High School,0
23,207228,679,5,2,35.84,717584,Salaried,Master,1
39,98975,666,6,6,45.54,162970,Self-Employed,Bachelor,1
40,242855,692,22,5,40.85,115582,Contract,Master,1
52,73607,654,14,6,34.38,845052,Salaried,Bachelor,0
27,245738,575,9,3,32.3,99571,Self-Employed,Bachelor,0
61,141664,607,11,3,56.24,653801,Self-Employed,Bachelor,0
53,134538,600,3,6,46.08,369528,Salaried,High School,0
60,64630,620,18,6,14.57,914740,Salaried,Master,0
59,171965,710,14,2,21.48,99683,Contract,Master,1
38,108782,650,8,3,52.43,16265,Contract,Master,1
60,74492,610,23,5,33.28,135073,Salaried,Master,1
21,120247,673,3,2,24.06,740908,Salaried,Bachelor,1
31,236520,701,13,1,9.56,355245,Self-Employed,Master,1
48,205482,699,10,0,13.79,891082,Salaried,Bachelor,1
45,217710,850,11,5,21.39,988594,Salaried,PhD,1
43,234204,635,16,1,63.21,415411,Business,Master,0
51,182411,708,4,0,45.66,526004,Self-Employed,Master,0
50,216717,760,30,2,37.87,910076,Salaried,Master,1
62,140101,797,18,0,46.32,794917,Self-Employed,Bachelor,1
55,166607,661,14,5,23.51,161546,Business,Master,1
27,134028,545,1,0,5.34,737845,Business,High School,1
36,244228,656,18,3,12.08,359758,Salaried,Bachelor,1
46,160311,706,25,3,57.8,935184,Contract,Master,1
22,40693,850,4,1,17.02,289617,Salaried,Bachelor,1
21,122984,575,3,3,58.0,67496,Self-Employed,High School,1
32,190335,675,6,5,41.93,362467,Salaried,Master,1
25,204459,629,7,4,45.19,212749,Self-Employed,Master,0
57,63664,748,2,3,34.5,301930,Salaried,High School,1
52,20728,633,9,2,47.12,595674,Contract,Master,0
29,249133,565,10,5,32.45,506734,Self-Employed,High School,0
61,174776,525,1,2,38.02,813800,Salaried,Master,0
55,79866,699,30,4,47.34,483061,Salaried,Bachelor,1
39,25900,685,14,5,13.37,455288,Self-Employed,PhD,1
36,50500,719,18,6,13.48,223471,Salaried,Bachelor,1
23,86825,690,5,3,22.72,163896,Salaried,Bachelor,1
40,137109,702,6,6,69.18,824168,Business,High School,0
44,215656,714,26,5,28.86,682972,Business,Master,1
53,220140,617,12,4,49.72,195003,Self-Employed,Master,1
44,31142,679,7,2,51.35,199119,Salaried,Bachelor,0
31,108973,718,9,0,48.34,12437,Business,Bachelor,0
28,45723,608,10,6,49.55,95167,Salaried,Master,0
56,62595,548,3,3,12.66,577527,Self-Employed,High School,0
58,210837,706,7,0,49.46,706465,Salaried,Bachelor,1
60,108324,666,25,0,69.94,129991,Salaried,High School,1
40,247340,780,22,0,41.22,875522,Business,Bachelor,1
55,243222,729,22,5,53.69,57611,Business,Bachelor,1
45,92731,656,15,3,12.59,153475,Salaried,Bachelor,1
55,167058,578,5,2,19.54,985602,Self-Employed,Bachelor,0
45,70611,780,2,5,56.22,245960,Business,Master,1
49,191214,738,3,1,50.63,157731,Contract,High School,0
38,37830,776,7,6,14.96,234294,Self-Employed,Bachelor,1
38,181556,752,20,5,21.81,713986,Salaried,Bachelor,1
22,139312,588,4,5,20.7,111072,Business,Master,0
55,91365,714,10,6,62.11,141713,Salaried,High School,1
36,216589,751,18,3,20.36,386159,Self-Employed,Bachelor,1
61,20536,688,12,5,22.61,487532,Salaried,Master,1
56,120425,655,10,0,46.75,54316,Business,Bachelor,1
53,111597,645,26,0,36.62,66104,Business,High School,1
24,183858,622,6,1,17.14,124009,Salaried,Master,1
53,163219,672,6,6,43.98,166559,Salaried,Master,0
34,125503,586,15,6,23.16,762290,Contract,Bachelor,1
41,81705,543,13,3,29.28,430493,Self-Employed,Master,0
40,196366,638,1,6,9.35,72531,Self-Employed,High School,1
28,81153,636,10,3,46.7,272534,Salaried,Bachelor,0
27,63634,847,9,3,8.34,386908,Business,Bachelor,1
23,124540,782,5,0,56.24,224921,Salaried,Bachelor,1
37,36988,664,12,5,62.9,992350,Self-Employed,PhD,0
53,55029,677,0,4,67.57,145138,Salaried,Bachelor,0
32,214417,758,14,3,14.12,943986,Business,Master,1
42,130925,678,5,4,18.54,432693,Salaried,Bachelor,1
42,75226,665,19,2,60.67,149254,Salaried,Master,1
50,73505,661,27,2,38.6,209602,Self-Employed,Master,1
58,137003,669,1,5,68.32,143584,Self-Employed,Bachelor,0
58,206453,596,11,2,9.32,252608,Self-Employed,Bachelor,1
65,56416,766,17,1,56.39,883516,Business,High School,1
28,97553,660,10,4,12.84,646577,Salaried,Bachelor,1
47,106603,774,20,3,48.65,539474,Business,Master,1
47,99870,761,28,3,64.0,904547,Self-Employed,Master,0
54,108643,715,18,0,43.89,650892,Self-Employed,Bachelor,1
41,99028,772,23,5,63.25,851706,Salaried,Bachelor,0
50,100111,664,23,4,20.51,587633,Salaried,Bachelor,1
53,26546,638,8,6,35.21,637581,Salaried,High School,1
48,30873,631,21,3,14.51,146003,Self-Employed,Master,0
53,144288,685,16,2,22.23,184403,Contract,Bachelor,1
25,135251,732,7,5,53.52,641317,Salaried,High School,0
39,205872,708,21,1,53.83,298609,Business,High School,1
24,168449,823,4,4,62.51,837974,Salaried,Bachelor,1
55,38666,717,13,5,52.85,629281,Salaried,High School,1
37,20953,638,19,4,9.09,209258,Self-Employed,High School,1
64,245597,692,23,5,13.44,410648,Contract,High School,1
48,233829,747,0,4,28.14,86608,Salaried,Master,1
50,174931,644,21,6,27.08,277773,Self-Employed,Bachelor,1
49,200831,632,22,2,29.16,94939,Self-Employed,Master,1
26,201604,766,8,6,14.83,847807,Self-Employed,Bachelor,1
55,158047,738,21,0,21.12,198201,Salaried,High School,1
61,170364,682,2,2,63.2,669788,Self-Employed,Master,1
57,248922,641,5,6,9.95,82596,Salaried,Bachelor,1
44,47754,658,26,5,48.94,919116,Salaried,Master,1
49,60413,702,2,6,56.74,472014,Business,Master,1
51,65077,734,10,5,19.37,420552,Self-Employed,Master,1
55,178684,757,24,0,25.92,296780,Business,Bachelor,1
53,41377,693,11,3,9.31,604175,Salaried,Bachelor,1
41,204777,589,10,1,15.8,18744,Salaried,Bachelor,0
52,76365,788,4,2,34.05,851657,Salaried,Master,1
43,125939,768,13,4,8.45,658205,Salaried,Bachelor,1
53,65046,753,12,4,23.29,926852,Self-Employed,Bachelor,1
23,130525,782,5,3,52.31,426724,Business,Master,1
38,164435,741,12,6,12.71,59707,Self-Employed,Bachelor,1
45,74956,688,24,1,8.72,566589,Business,Master,1
62,34434,597,26,5,30.75,897495,Salaried,Master,1
51,67284,621,26,2,22.12,918750,Self-Employed,High School,0
23,201283,651,1,1,7.66,431925,Self-Employed,High School,1
60,201682,738,17,1,66.96,344963,Salaried,High School,0
44,175153,799,26,0,67.4,519070,Self-Employed,Bachelor,0
52,147499,783,23,4,6.41,834601,Salaried,Master,1
42,154456,645,16,4,43.64,172985,Self-Employed,PhD,0
43,230545,670,25,2,60.18,369054,Business,High School,1
22,110541,578,4,5,15.21,403366,Self-Employed,High School,0
47,223747,805,21,1,41.55,770202,Salaried,Bachelor,1
62,74249,570,4,5,45.68,400246,Salaried,High School,0
22,117320,666,4,4,40.14,102094,Salaried,Bachelor,1
46,23960,783,11,0,23.04,759667,Self-Employed,High School,1
37,115993,709,3,5,39.47,219715,Self-Employed,Bachelor,1
60,43156,722,9,0,50.37,857009,Business,Bachelor,1
53,56342,698,3,2,18.21,869902,Salaried,Master,1
29,230043,549,11,1,33.55,55665,Business,Bachelor,1
63,151786,713,15,0,5.79,394269,Salaried,Bachelor,1
59,141977,726,2,4,16.11,544393,Business,Master,1
49,106163,637,2,2,21.78,517175,Salaried,Bachelor,1
62,53376,736,11,1,50.64,671865,Salaried,Bachelor,1
46,99497,645,11,4,43.06,255481,Salaried,High School,1
55,229981,783,5,5,40.62,463932,Salaried,Bachelor,0
45,82527,676,21,0,33.45,863788,Salaried,High School,1
44,195320,722,26,2,33.74,693748,Salaried,Master,1
33,184887,702,15,2,36.94,185459,Contract,Master,1
27,227656,734,2,6,65.1,14773,Self-Employed,Master,0
56,85466,688,3,1,67.69,233557,Salaried,Master,1
65,95470,733,2,4,55.11,571697,Contract,Bachelor,0
40,93703,733,2,5,5.66,427767,Salaried,Master,1
21,39287,588,3,5,34.36,218739,Salaried,High School,0
28,204142,729,10,5,60.02,23545,Self-Employed,Master,1
36,109840,645,18,6,38.95,100116,Salaried,High School,0
34,142505,668,2,5,26.94,480034,Salaried,Master,1
32,84469,661,14,1,37.44,862491,Self-Employed,High School,0
43,224452,649,23,3,5.37,346735,Self-Employed,Bachelor,1
35,88894,784,17,6,43.9,754759,Salaried,Master,0
48,69814,576,8,6,38.97,146801,Self-Employed,Bachelor,1
54,169246,475,12,5,8.28,108879,Business,Master,1
22,81962,638,4,2,65.64,35467,Salaried,High School,0
52,223849,665,26,3,37.67,83706,Salaried,Bachelor,1
43,30101,619,22,6,23.37,785360,Salaried,High School,1
42,135682,608,11,2,38.31,571570,Self-Employed,Bachelor,0
45,68789,731,10,3,68.75,709533,Salaried,Bachelor,0
42,76552,688,1,3,48.6,852134,Business,Master,0
42,231317,850,17,5,40.29,298848,Salaried,Bachelor,1
62,159221,620,30,1,32.87,745094,Salaried,Master,1
26,231236,708,8,3,55.99,246026,Business,Bachelor,1
35,28730,721,13,3,24.89,966014,Salaried,Bachelor,1
63,111136,658,28,0,48.18,435073,Salaried,High School,1
57,110558,599,16,4,12.08,766572,Salaried,High School,1
53,210084,672,26,4,12.39,103293,Salaried,Master,1
28,122735,721,10,4,38.19,968230,Salaried,Bachelor,1
64,26567,630,27,5,55.63,622495,Contract,Master,0
64,121853,661,12,2,39.21,775523,Business,Bachelor,1
25,246843,670,0,6,25.53,587868,Business,Bachelor,1
59,231228,620,12,3,15.4,598474,Salaried,High School,1
24,132783,776,6,2,10.1,938343,Self-Employed,Master,1
26,71072,692,4,2,60.39,143523,Contract,Bachelor,0
65,37726,664,24,4,45.06,918368,Salaried,Master,1
52,150503,741,16,6,23.28,881178,Salaried,Bachelor,1
50,137763,691,20,2,34.61,678660,Self-Employed,Bachelor,1
55,102482,770,25,3,61.6,791221,Salaried,Bachelor,0
60,80515,614,6,2,29.47,177227,Self-Employed,Bachelor,1
36,31645,725,16,1,21.57,232642,Salaried,Bachelor,1
33,110193,678,15,2,16.85,816661,Self-Employed,Bachelor,1
62,69507,780,16,0,34.87,567363,Salaried,Bachelor,0
50,136552,752,23,3,46.94,405980,Salaried,High School,1
39,47265,701,20,2,46.48,526415,Salaried,Bachelor,0
37,99298,702,19,3,21.04,191922,Self-Employed,High School,1
39,203515,673,20,1,66.13,824281,Salaried,High School,1
48,130636,764,29,6,7.6,371947,Self-Employed,Bachelor,0
46,190299,639,18,0,56.69,44197,Self-Employed,High School,0
57,239027,675,30,5,30.12,505403,Salaried,Bachelor,1
46,91186,727,21,6,44.91,686423,Salaried,High School,1
43,24200,624,18,6,18.33,932113,Salaried,PhD,1
29,216388,603,11,2,35.49,163588,Contract,Bachelor,0
32,101550,748,14,1,17.08,296952,Salaried,Bachelor,1
21,76442,572,3,1,57.51,872671,Salaried,High School,0
21,55304,749,3,0,12.4,742418,Salaried,Master,1
54,240357,654,28,5,30.22,139348,Salaried,Master,1
52,102793,589,28,6,17.58,666282,Salaried,High School,1
45,28439,782,15,2,31.95,208382,Contract,Master,1
60,174432,545,20,0,66.67,111673,Salaried,Master,0
65,39724,763,5,5,46.54,101146,Salaried,High School,1
21,200791,850,3,4,21.97,657498,Salaried,PhD,1
36,148880,807,18,1,10.4,862908,Salaried,Master,1
59,34445,656,10,6,43.96,443610,Salaried,High School,1
25,147160,795,7,3,11.32,40041,Salaried,Bachelor,1
42,115234,765,15,5,43.44,241303,Business,Bachelor,1
49,173388,618,3,4,59.64,18221,Salaried,Bachelor,1
23,77080,606,5,0,32.21,306496,Salaried,Bachelor,0
32,152423,698,14,4,57.96,988681,Business,High School,1
46,199414,720,5,0,57.62,409087,Salaried,Master,0
36,128187,758,9,4,12.26,101115,Salaried,High School,1
57,43840,754,7,0,42.92,406234,Salaried,High School,1
42,149398,696,17,0,67.09,151798,Business,Bachelor,1
49,89473,642,3,6,39.73,840727,Self-Employed,Bachelor,1
34,163457,748,10,2,63.66,846210,Salaried,Bachelor,0
48,111416,764,17,1,25.18,31933,Self-Employed,Bachelor,1
25,208221,690,7,3,9.68,394527,Business,High School,1
50,44424,665,10,5,52.53,176513,Self-Employed,Bachelor,0
25,202139,643,7,1,8.28,948400,Salaried,High School,1
32,155914,568,7,3,29.44,102870,Salaried,Master,1
36,141414,625,18,0,61.98,801903,Contract,High School,1
46,125588,788,28,6,55.85,579075,Contract,Bachelor,1
46,238021,683,25,5,32.36,188111,Salaried,High School,1
41,163515,635,5,3,10.72,784225,Business,Master,1
59,188272,678,26,4,42.74,772613,Business,Bachelor,1
56,42885,652,1,1,30.04,475679,Salaried,Master,1
53,26010,712,12,2,32.74,727688,Self-Employed,Bachelor,1
50,54927,653,25,5,28.34,580763,Self-Employed,High School,1
57,173629,676,2,3,55.52,538344,Salaried,High School,1
43,81056,527,10,3,58.09,842976,Salaried,PhD,0
30,40443,606,12,4,25.07,81095,Salaried,Bachelor,0
25,214659,703,7,5,11.7,385236,Self-Employed,High School,1
56,79793,668,5,5,37.16,449755,Salaried,Bachelor,1
54,199808,723,12,0,17.19,460775,Self-Employed,Master,1
51,42639,698,25,2,53.49,331179,Contract,Bachelor,0
30,161036,785,12,6,53.87,611203,Business,Master,1
39,212570,462,21,2,32.93,816459,Self-Employed,Master,0
52,98822,675,2,6,55.24,183891,Salaried,Bachelor,1
21,102193,728,2,1,40.56,611140,Contract,Master,1
25,29478,686,4,2,37.3,451296,Contract,Bachelor,1
65,218844,660,6,3,46.81,92458,Salaried,Master,0
24,122781,647,6,2,59.53,302994,Business,High School,1
36,103651,631,15,2,64.09,540939,Self-Employed,High School,1
