age,income,credit_score,loan_amount,experience_years,debt_to_income,employment_type,existing_loans,dependents,savings,property_owned,loan_approved
28,86122,326,513785,4,0.17,Salaried,5,1,936838,No,Yes
32,86184,372,382066,4,0.25,Salaried,5,0,516104,No,Yes
54,189153,396,258758,33,0.28,Contract,0,4,862029,No,Yes
53,232709,645,58157,33,0.17,Salaried,1,1,871180,Yes,Yes
43,194384,775,623030,20,0.06,Contract,5,0,625823,No,Yes
44,105228,599,277016,21,0.16,Contract,2,3,465819,Yes,Yes
57,90943,598,581963,37,0.58,Salaried,5,2,706871,Yes,Yes
55,231862,586,338372,26,0.4,Business,1,1,558057,Yes,Yes
64,98770,748,854683,38,0.27,Salaried,4,2,203545,No,Yes
60,70726,511,73349,39,0.45,Self-Employed,5,2,307919,No,No
42,171283,375,179417,14,0.53,Self-Employed,3,2,608582,Yes,Yes
47,178552,700,361322,21,0.28,Business,1,4,113246,Yes,Yes
55,65780,333,917794,29,0.35,Self-Employed,3,0,404223,No,No
21,206210,797,826204,1,0.09,Business,2,2,410472,No,Yes
55,239454,815,816505,27,0.44,Contract,4,1,974099,No,Yes
57,60503,627,255732,28,0.28,Self-Employed,3,4,282857,Yes,Yes
34,75893,397,187660,6,0.33,Business,5,0,558092,Yes,Yes
23,195265,665,670767,2,0.32,Salaried,0,1,949390,Yes,Yes
21,79358,762,819486,0,0.46,Self-Employed,5,4,72486,Yes,No
25,98857,327,703332,0,0.42,Self-Employed,5,4,273780,No,No
46,227254,685,137687,25,0.32,Business,2,0,330048,No,Yes
34,138457,572,702613,13,0.06,Contract,4,2,370809,Yes,Yes
59,171189,426,113196,32,0.45,Business,0,1,766483,Yes,Yes
47,208128,501,558370,25,0.62,Business,0,3,58512,Yes,Yes
29,135928,820,82400,7,0.55,Self-Employed,5,2,236240,No,Yes
35,76706,586,565593,9,0.69,Business,4,3,532918,Yes,Yes
35,219501,749,325680,6,0.14,Salaried,1,1,771218,No,Yes
46,158548,387,445916,21,0.19,Business,4,3,46079,No,Yes
62,100806,617,796970,36,0.4,Salaried,4,3,880200,No,Yes
33,73006,318,982619,8,0.2,Salaried,4,0,130122,Yes,Yes
52,105238,406,758289,24,0.07,Business,3,0,745438,No,Yes
59,218990,757,750873,38,0.31,Contract,1,0,385542,No,Yes
52,212227,610,658895,25,0.24,Salaried,2,3,658426,No,Yes
24,216393,711,612388,0,0.22,Salaried,0,3,591493,No,Yes
50,63798,797,269798,27,0.67,Salaried,5,4,917537,Yes,Yes
57,95271,543,464656,32,0.2,Contract,3,4,576420,No,Yes
43,48177,679,272688,18,0.13,Business,1,0,684359,No,Yes
59,245320,814,553679,30,0.13,Contract,4,4,608707,No,Yes
65,146022,506,607235,40,0.57,Business,5,2,44685,Yes,No
35,148156,693,385676,8,0.51,Salaried,5,4,142999,Yes,Yes
63,100215,320,290153,39,0.13,Self-Employed,3,4,711720,No,Yes
49,61013,826,392542,20,0.19,Salaried,3,2,350127,Yes,Yes
56,249973,642,109413,33,0.54,Business,0,2,347783,Yes,Yes
33,100600,501,284840,12,0.23,Contract,2,1,553813,Yes,Yes
52,114099,419,466320,23,0.69,Salaried,1,3,395009,Yes,Yes
27,71450,688,308810,7,0.4,Salaried,5,3,208439,No,Yes
42,247700,836,394985,16,0.17,Business,5,0,787555,Yes,Yes
48,197000,533,610148,19,0.61,Business,1,1,689152,No,Yes
22,140640,619,514279,0,0.26,Self-Employed,1,1,377516,Yes,Yes
62,110403,479,436534,40,0.24,Salaried,4,1,946644,No,Yes
65,194454,667,553311,40,0.26,Salaried,4,1,227250,No,Yes
26,117290,375,588015,0,0.55,Salaried,3,4,488290,Yes,No
48,234110,795,276575,26,0.16,Self-Employed,5,1,490870,No,Yes
48,149832,821,569372,27,0.3,Self-Employed,2,0,662747,No,Yes
64,42142,500,925817,39,0.07,Salaried,0,3,291760,No,No
64,128189,645,970223,35,0.59,Business,5,1,294514,Yes,Yes
40,125532,782,828161,18,0.27,Contract,0,3,114297,Yes,Yes
50,166362,518,557432,30,0.21,Salaried,2,2,873845,No,Yes
31,220107,359,425915,2,0.43,Salaried,1,0,358399,Yes,Yes
48,149436,849,718284,20,0.51,Salaried,2,2,782013,No,Yes
45,74921,520,845647,20,0.58,Business,0,1,806359,No,No
59,37797,801,295911,34,0.28,Self-Employed,4,4,694517,Yes,Yes
53,50535,432,664412,24,0.58,Contract,2,4,797102,Yes,No
21,64300,352,665114,0,0.35,Contract,3,0,209882,No,No
47,65176,749,634782,26,0.12,Self-Employed,4,1,282195,Yes,Yes
33,34105,361,753369,4,0.6,Salaried,3,1,712887,Yes,No
61,157011,322,921977,33,0.41,Salaried,3,1,547593,Yes,Yes
23,97472,343,999416,1,0.44,Contract,2,1,420820,Yes,No
59,191101,346,304200,37,0.66,Contract,3,0,707385,No,No
26,164935,323,837576,4,0.41,Salaried,5,0,540645,Yes,Yes
28,96097,388,955602,8,0.05,Business,1,0,729531,Yes,Yes
47,159519,473,480518,18,0.62,Salaried,2,4,980768,Yes,Yes
29,114160,418,700511,3,0.24,Business,0,1,685475,No,Yes
57,64940,477,916603,28,0.38,Salaried,1,2,177914,Yes,Yes
53,227019,641,280096,27,0.18,Contract,4,3,67459,Yes,Yes
62,103001,358,430061,40,0.24,Salaried,2,0,245387,No,Yes
64,168714,737,509758,39,0.5,Salaried,0,0,404443,Yes,Yes
44,245870,727,431560,21,0.33,Self-Employed,0,4,944580,Yes,Yes
35,244971,725,782386,9,0.46,Salaried,2,4,223803,No,Yes
52,216715,680,208116,26,0.59,Salaried,1,3,583328,No,Yes
52,25928,785,777995,29,0.27,Salaried,5,4,421635,No,Yes
44,66002,484,291687,22,0.42,Contract,0,0,973354,Yes,Yes
61,102853,759,692789,35,0.56,Salaried,2,1,386982,Yes,Yes
32,132614,401,50537,4,0.51,Business,2,1,274437,Yes,Yes
59,135517,314,688521,36,0.4,Business,5,4,314185,No,Yes
22,174089,350,126552,0,0.3,Salaried,3,3,741844,Yes,Yes
23,97064,608,347597,0,0.31,Contract,2,1,117002,No,Yes
57,137694,333,51980,28,0.33,Business,0,0,368640,Yes,Yes
37,162385,504,907874,15,0.28,Salaried,3,1,95687,No,Yes
22,150631,369,214379,0,0.5,Salaried,0,3,510827,No,No
22,68893,529,138966,2,0.13,Business,1,4,673140,No,Yes
48,33167,779,750204,23,0.68,Contract,1,2,593261,No,No
43,229951,832,733989,19,0.56,Contract,0,1,700092,No,Yes
57,56598,407,470991,31,0.24,Business,4,0,835244,No,No
52,156595,540,483245,24,0.08,Salaried,4,3,132253,Yes,Yes
53,67777,550,670222,30,0.51,Contract,4,1,235671,No,No
21,177511,434,767220,0,0.53,Self-Employed,0,2,849725,No,No
39,134378,389,770143,14,0.68,Salaried,2,4,690090,Yes,Yes
22,99060,739,304435,0,0.21,Contract,3,1,284310,No,Yes
64,31285,597,91988,40,0.1,Salaried,2,3,522510,No,Yes
46,160045,706,498668,26,0.64,Self-Employed,5,1,694313,No,Yes
52,140970,607,705411,25,0.22,Business,0,4,179385,Yes,Yes
26,40694,401,861250,1,0.52,Self-Employed,5,3,812845,No,No
52,184846,660,444902,26,0.09,Salaried,5,2,616928,No,Yes
24,153374,827,986709,0,0.54,Business,2,0,581653,Yes,Yes
31,171463,592,303880,2,0.13,Self-Employed,5,4,384866,No,Yes
37,22611,445,451312,11,0.5,Contract,1,1,697570,Yes,No
58,27372,703,158336,30,0.4,Self-Employed,3,2,578245,No,Yes
44,173384,301,748447,20,0.67,Salaried,0,3,193511,No,Yes
25,163152,418,435718,5,0.07,Contract,3,3,833003,No,Yes
54,98618,490,844977,34,0.24,Self-Employed,4,3,302642,Yes,Yes
26,130945,302,807354,0,0.1,Salaried,4,1,950066,Yes,Yes
42,126397,786,428521,18,0.62,Business,1,4,290580,No,Yes
31,114213,476,844916,10,0.44,Self-Employed,0,2,168565,Yes,Yes
36,38874,556,335811,14,0.4,Business,4,3,785173,Yes,No
53,211609,833,644399,33,0.14,Contract,3,0,158726,No,Yes
29,222986,776,835695,4,0.37,Business,3,4,355180,Yes,Yes
26,150669,697,573931,1,0.31,Salaried,1,2,306726,Yes,Yes
36,29600,795,660780,14,0.26,Contract,5,2,32508,Yes,Yes
49,152819,519,701288,27,0.55,Self-Employed,4,3,227402,No,No
23,97415,472,126206,0,0.09,Business,2,0,921794,Yes,Yes
40,227625,689,720997,20,0.47,Contract,4,3,422861,No,Yes
56,173887,801,525098,32,0.58,Contract,1,4,116340,Yes,Yes
39,233572,559,666764,17,0.64,Self-Employed,4,1,489775,No,No
46,112348,430,148941,22,0.53,Self-Employed,0,4,49680,No,Yes
23,123736,412,352891,0,0.23,Self-Employed,1,0,716992,No,Yes
39,42714,319,371893,14,0.44,Self-Employed,2,1,58353,Yes,No
40,167962,514,845923,12,0.14,Business,3,2,752635,Yes,Yes
52,210581,609,889532,31,0.13,Contract,4,3,789803,No,Yes
27,210896,550,173569,0,0.47,Self-Employed,5,4,783318,No,No
61,153797,787,980135,34,0.6,Contract,3,3,832692,Yes,Yes
53,192277,681,530686,32,0.09,Contract,1,4,107426,No,Yes
60,169756,708,732542,37,0.12,Salaried,3,3,229247,Yes,Yes
59,240933,570,58903,31,0.42,Salaried,5,1,302854,Yes,Yes
38,206983,706,929154,15,0.19,Self-Employed,5,3,80763,Yes,Yes
60,247150,493,369926,34,0.45,Self-Employed,5,0,939298,No,No
21,129573,740,127261,0,0.19,Salaried,5,0,751810,No,Yes
31,31092,612,914038,10,0.13,Contract,0,3,754915,Yes,No
48,113918,378,872541,21,0.4,Self-Employed,5,2,170116,No,Yes
45,188842,479,131604,16,0.61,Business,1,0,299038,No,Yes
43,43457,313,645374,14,0.5,Self-Employed,1,4,334503,No,No
51,89667,545,765796,30,0.58,Self-Employed,4,3,355960,No,No
50,108751,313,723527,28,0.22,Business,1,3,949572,No,Yes
62,80894,398,75443,33,0.63,Self-Employed,0,0,827863,No,Yes
55,79305,332,785584,29,0.3,Contract,4,2,320783,Yes,Yes
27,161684,735,493856,3,0.6,Business,0,4,25474,No,Yes
36,227699,556,165155,7,0.36,Business,2,0,984522,No,Yes
46,249711,333,180560,24,0.22,Salaried,4,0,192278,Yes,Yes
22,186161,318,547103,1,0.22,Contract,1,1,226530,No,Yes
21,244367,559,210620,0,0.42,Salaried,1,0,152683,Yes,Yes
32,70137,715,258721,3,0.1,Contract,1,4,600923,Yes,Yes
25,18559,436,898790,5,0.65,Self-Employed,2,1,662121,No,No
57,84249,658,399969,30,0.23,Salaried,0,2,857458,Yes,Yes
52,55361,415,199232,28,0.27,Self-Employed,1,2,749907,Yes,Yes
29,98720,703,935817,5,0.2,Self-Employed,5,0,236337,Yes,Yes
61,33261,501,489421,40,0.05,Salaried,3,4,460054,No,No
55,38372,675,374424,29,0.5,Salaried,5,2,517317,No,No
39,73355,549,528061,15,0.43,Self-Employed,1,4,821738,Yes,Yes
36,246748,745,348996,9,0.58,Self-Employed,4,4,561362,No,Yes
23,116560,577,357165,0,0.08,Contract,4,1,500848,Yes,Yes
40,206992,411,942364,12,0.65,Self-Employed,3,0,81819,No,No
44,181616,772,56195,20,0.27,Business,2,4,464969,No,Yes
53,18037,691,771907,31,0.64,Self-Employed,4,4,866530,Yes,No
44,192104,442,467502,23,0.12,Self-Employed,2,4,454211,No,Yes
31,227305,331,127674,7,0.53,Self-Employed,2,0,945120,Yes,Yes
28,59420,480,568412,0,0.43,Salaried,3,1,711239,No,No
56,115243,815,338863,27,0.28,Salaried,4,4,386913,Yes,Yes
58,240624,568,935008,34,0.1,Business,5,3,983570,No,Yes
60,147380,535,884882,35,0.44,Self-Employed,1,1,63343,Yes,Yes
40,52600,576,856460,19,0.07,Contract,5,0,483406,Yes,Yes
55,197357,574,590480,31,0.38,Contract,5,2,694420,Yes,Yes
45,211080,385,657924,25,0.44,Self-Employed,5,4,632232,Yes,Yes
55,107520,362,121812,33,0.53,Self-Employed,2,3,924517,No,Yes
45,23167,703,77551,23,0.69,Self-Employed,2,2,20610,Yes,Yes
49,18432,491,170920,27,0.22,Self-Employed,4,2,26242,Yes,No
38,87687,592,769671,16,0.26,Self-Employed,4,4,740183,No,No
38,89947,330,111444,11,0.27,Salaried,5,4,620767,Yes,Yes
22,114324,629,738484,2,0.53,Business,3,2,643951,Yes,No
55,68903,406,325798,30,0.66,Salaried,0,3,605204,No,Yes
36,241231,575,50203,11,0.68,Contract,5,1,960115,Yes,Yes
61,203221,381,725489,40,0.66,Salaried,5,4,641610,Yes,Yes
56,236712,363,690572,36,0.62,Salaried,0,4,28200,No,No
53,205840,428,384294,31,0.69,Business,0,0,809055,Yes,Yes
24,209256,555,818463,0,0.29,Contract,2,4,712295,No,Yes
53,83792,530,738624,28,0.67,Contract,3,0,634653,No,No
34,51439,796,980493,11,0.54,Self-Employed,0,2,715228,Yes,Yes
41,182329,436,439956,17,0.16,Business,5,3,367846,No,Yes
40,193746,754,230286,11,0.08,Salaried,4,0,76099,Yes,Yes
28,69248,654,510331,6,0.19,Salaried,5,0,897064,Yes,Yes
27,232674,784,238955,2,0.56,Salaried,2,1,549866,No,Yes
23,194443,445,496661,0,0.46,Contract,2,2,660311,Yes,Yes
37,247354,332,775772,12,0.2,Contract,5,0,431943,Yes,Yes
53,217068,559,418298,25,0.53,Salaried,4,0,398089,Yes,Yes
32,186369,386,250733,3,0.14,Contract,3,2,691169,Yes,Yes
42,203345,564,560617,15,0.58,Self-Employed,3,4,584756,Yes,Yes
42,210328,841,972832,17,0.57,Salaried,0,3,143829,No,Yes
50,52743,691,440206,29,0.68,Salaried,4,2,811157,Yes,Yes
58,217824,531,754328,35,0.15,Self-Employed,1,1,199848,No,Yes
58,97803,746,747400,33,0.64,Contract,3,1,584867,Yes,Yes
65,93117,428,371343,37,0.27,Salaried,0,3,483878,Yes,Yes
28,219123,570,893471,7,0.32,Self-Employed,2,1,32072,No,Yes
47,40076,388,913664,22,0.35,Business,3,2,213956,No,No
47,224384,765,675971,18,0.46,Self-Employed,1,4,189130,Yes,Yes
54,105483,469,625038,25,0.7,Salaried,2,1,348037,Yes,Yes
41,152035,427,66119,12,0.44,Self-Employed,2,2,290912,No,Yes
50,137217,473,336161,24,0.65,Contract,4,1,968687,No,No
53,221394,325,229852,26,0.22,Salaried,4,0,500294,Yes,Yes
48,162938,810,207276,20,0.31,Salaried,5,0,202847,No,Yes
53,122504,787,462778,29,0.38,Contract,3,4,875555,No,Yes
25,181377,705,991932,0,0.26,Contract,1,0,612370,No,Yes
39,211475,325,306599,11,0.68,Contract,4,0,804432,No,No
24,231968,382,71497,0,0.52,Business,0,1,796724,Yes,Yes
55,123649,663,315516,34,0.36,Salaried,2,1,105394,Yes,Yes
37,144244,666,662971,10,0.54,Salaried,0,3,417163,Yes,Yes
64,50813,359,853885,40,0.35,Salaried,2,4,404750,Yes,Yes
48,84729,850,687004,21,0.06,Self-Employed,0,0,134431,No,Yes
50,209758,591,364072,29,0.4,Salaried,2,3,175231,No,Yes
49,22512,490,870392,23,0.46,Salaried,4,1,289548,No,No
26,171738,760,67197,2,0.69,Contract,0,3,917267,No,Yes
55,165702,532,149456,32,0.08,Contract,3,0,827922,No,Yes
61,135907,773,236056,32,0.38,Contract,3,3,993659,No,Yes
57,223591,704,568851,32,0.11,Salaried,1,2,642080,No,Yes
44,149708,570,707243,20,0.15,Contract,1,4,202171,Yes,Yes
49,152847,433,328795,24,0.45,Business,5,0,677838,Yes,Yes
51,217029,470,577100,23,0.2,Contract,1,2,359161,Yes,Yes
55,82591,714,145981,35,0.54,Business,0,3,889713,No,Yes
53,227633,327,292248,33,0.38,Self-Employed,2,0,62905,Yes,Yes
41,223888,435,318706,16,0.19,Business,5,3,553329,No,Yes
52,29351,704,515765,31,0.37,Business,1,4,970144,No,Yes
43,133400,804,572082,16,0.05,Self-Employed,4,4,940327,No,Yes
53,138533,540,833520,27,0.61,Business,3,1,854452,Yes,Yes
23,121627,743,382857,0,0.06,Salaried,3,2,670737,No,Yes
38,204256,733,856901,15,0.05,Salaried,4,4,181639,Yes,Yes
45,146381,527,230607,17,0.45,Contract,3,2,942621,No,No
62,113707,808,504516,36,0.68,Contract,0,3,785561,No,Yes
51,218252,602,429682,25,0.61,Contract,4,2,223774,No,No
23,99678,333,146765,0,0.21,Contract,0,0,909620,Yes,Yes
60,91309,301,537853,40,0.18,Salaried,5,1,755785,Yes,Yes
44,243074,661,929955,23,0.46,Contract,3,2,491709,No,Yes
52,28778,494,138641,25,0.58,Business,4,2,110020,Yes,No
42,161573,607,270075,18,0.29,Self-Employed,4,4,907617,No,Yes
43,130713,549,657257,22,0.33,Business,5,0,280589,No,Yes
22,151180,446,330361,0,0.13,Self-Employed,5,4,963143,Yes,Yes
47,243977,645,146844,20,0.15,Salaried,5,2,287228,Yes,Yes
62,54382,647,190061,39,0.42,Self-Employed,4,3,104732,No,No
22,240426,553,742595,0,0.12,Contract,3,4,961970,Yes,Yes
46,93787,698,659183,22,0.18,Salaried,3,4,755635,No,Yes
37,41341,633,776051,11,0.2,Contract,3,0,673524,Yes,No
60,226286,475,237922,39,0.34,Business,1,4,570457,No,Yes
53,163439,424,572005,33,0.08,Business,1,4,213256,No,Yes
29,137967,697,565904,5,0.37,Contract,2,1,182380,No,Yes
63,244280,430,817800,37,0.65,Self-Employed,4,2,354993,Yes,Yes
59,149066,706,231514,32,0.07,Business,3,0,129319,No,Yes
49,218940,633,385641,22,0.46,Self-Employed,4,4,241604,No,No
62,161074,319,729343,33,0.59,Business,5,2,229674,No,No
46,103820,504,319330,18,0.25,Contract,0,0,15576,No,Yes
55,77949,654,450722,35,0.14,Contract,0,4,761560,Yes,Yes
45,164772,472,484242,19,0.08,Business,3,3,361305,No,Yes
44,228377,488,751430,15,0.47,Business,1,1,400283,Yes,Yes
33,80543,301,230023,6,0.41,Self-Employed,2,0,740766,Yes,Yes
27,178390,467,932193,2,0.2,Self-Employed,1,3,453394,No,Yes
56,238931,667,698560,27,0.59,Self-Employed,4,0,262699,Yes,Yes
65,45610,835,844223,40,0.53,Contract,1,0,24600,Yes,No
40,221571,669,242407,14,0.23,Business,3,1,66742,Yes,Yes
21,222446,736,143133,0,0.54,Salaried,5,3,506157,Yes,Yes
28,83226,506,122306,7,0.21,Self-Employed,5,4,593224,Yes,Yes
36,63167,348,846325,11,0.49,Salaried,1,2,560301,No,No
34,226851,843,206226,13,0.13,Contract,0,3,250959,No,Yes
32,177011,428,139854,7,0.5,Self-Employed,3,0,493727,Yes,Yes
43,210437,746,493973,14,0.21,Self-Employed,3,3,596871,Yes,Yes
35,85381,334,766747,13,0.42,Salaried,3,2,405683,Yes,No
48,64710,498,221827,27,0.16,Salaried,1,3,808765,Yes,Yes
54,34766,376,941901,27,0.52,Business,0,2,359540,Yes,No
22,120416,668,981018,0,0.09,Salaried,1,1,486239,No,Yes
52,30780,825,474574,29,0.16,Contract,4,0,670223,Yes,Yes
43,66458,648,269046,17,0.17,Self-Employed,5,4,76395,Yes,Yes
42,74221,805,437002,15,0.08,Salaried,2,3,465541,Yes,Yes
45,19509,537,677097,17,0.53,Contract,2,1,737443,Yes,No
42,107493,579,536208,13,0.69,Salaried,5,3,945373,Yes,Yes
42,183418,731,597919,15,0.56,Salaried,2,1,998268,Yes,Yes
62,231871,437,317951,39,0.61,Salaried,5,2,74055,Yes,Yes
26,134850,568,830910,5,0.05,Business,4,1,631788,Yes,Yes
35,195946,500,523908,6,0.13,Self-Employed,4,2,514045,No,Yes
63,175220,441,704472,39,0.41,Self-Employed,4,1,65076,No,No
57,49533,654,586196,31,0.69,Self-Employed,0,3,510178,Yes,Yes
53,126144,628,729795,32,0.48,Business,3,4,111584,Yes,Yes
28,140402,530,833175,5,0.29,Salaried,5,0,587725,No,Yes
64,96467,607,636004,39,0.14,Self-Employed,4,4,885456,Yes,Yes
64,19359,445,80432,37,0.15,Self-Employed,2,1,495501,Yes,Yes
25,137119,451,150458,0,0.29,Salaried,5,2,582029,Yes,Yes
59,239140,439,745870,34,0.51,Self-Employed,2,3,270735,Yes,Yes
